rank,configuration,mean_d_penalized,mean_d_truth,std_d_truth,mean_alpha,mean_beta
1,ANN-AE (small),1.8370,1.5652,0.0220,0.4850,0.9791
2,ANN-AE (base),1.8403,1.5453,0.0303,0.5221,0.9814
3,ANN-AE (tiny),1.8671,1.4880,0.0586,0.6631,0.9841
4,SNN-AE direct (base),1.8953,1.7003,0.0411,0.3333,0.9995
5,SNN-AE direct (tiny),1.9168,1.5019,0.0684,0.7083,1.0000
6,SNN-AE direct (small),1.9174,1.7773,0.0509,0.2396,0.9995
7,SNN-AE latency (tiny),1.9219,1.8752,0.0122,0.1032,0.9766
8,SNN-AE latency (base),1.9460,1.9084,0.0060,0.0785,0.9858
9,SNN-AE latency (small),1.9504,1.9207,0.0050,0.0654,0.9854
10,SNN-AE poisson (base),1.9896,1.9822,0.0016,0.0026,0.9847
11,SNN-AE poisson (small),1.9912,1.9843,0.0014,0.0020,0.9862
12,SNN-AE poisson (tiny),1.9958,1.9898,0.0013,0.0000,0.9898
