rank,configuration,mean_d_penalized,mean_d_truth,std_d_truth,mean_alpha,mean_beta
1\textsuperscript{$\dagger$},Haar + LFCC (c1),1.4835,1.4053,0.0000,0.3674,0.7663
2,Haar + MEL (c1),1.4972,1.4189,0.0000,0.3606,0.7731
3,Daubechies 22 + LFCC (c1),1.4973,1.3929,0.0000,0.3984,0.7798
4,Daubechies 26 + LFCC (c1),1.4988,1.3983,0.0000,0.3920,0.7797
5,Daubechies 30 + LFCC (c1),1.5011,1.4039,0.0000,0.3859,0.7800
6,Daubechies 42 + LFCC (c1),1.5014,1.4043,0.0000,0.3856,0.7801
7,Daubechies 20 + LFCC (c1),1.5016,1.4075,0.0000,0.3812,0.7795
8,Daubechies 32 + LFCC (c1),1.5016,1.4068,0.0000,0.3822,0.7797
9,Daubechies 38 + LFCC (c1),1.5018,1.4058,0.0000,0.3838,0.7800
10,Daubechies 36 + LFCC (c1),1.5019,1.4024,0.0000,0.3889,0.7810
11,Daubechies 40 + LFCC (c1),1.5021,1.4077,0.0000,0.3814,0.7798
12,Daubechies 16 + LFCC (c1),1.5022,1.4014,0.0000,0.3907,0.7814
13,Daubechies 46 + LFCC (c1),1.5028,1.4094,0.0000,0.3796,0.7799
14,Daubechies 34 + LFCC (c1),1.5037,1.4098,0.0000,0.3797,0.7805
15,Daubechies 28 + LFCC (c1),1.5041,1.4127,0.0000,0.3760,0.7800
16,Daubechies 18 + LFCC (c1),1.5043,1.4078,0.0000,0.3832,0.7814
17,Daubechies 14 + LFCC (c1),1.5043,1.4078,0.0000,0.3833,0.7814
18,Daubechies 24 + LFCC (c1),1.5043,1.4119,0.0000,0.3774,0.7804
19,Daubechies 44 + LFCC (c1),1.5052,1.4125,0.0000,0.3773,0.7809
20,Daubechies 12 + LFCC (c1),1.5058,1.4097,0.0000,0.3819,0.7821
21,Haar + BARK (c1),1.5099,1.4243,0.0000,0.3647,0.7815
22,Daubechies 4 + LFCC (c1),1.5145,1.4478,0.0000,0.3353,0.7786
23,Daubechies 18 + MEL (c1),1.5191,1.4123,0.0000,0.3909,0.7914
24,Daubechies 32 + MEL (c1),1.5199,1.4188,0.0000,0.3822,0.7904
25,Daubechies 22 + MEL (c1),1.5200,1.4180,0.0000,0.3834,0.7907
26,Daubechies 26 + MEL (c1),1.5203,1.4178,0.0000,0.3840,0.7909
27,Daubechies 16 + MEL (c1),1.5205,1.4164,0.0000,0.3862,0.7914
28,Daubechies 20 + MEL (c1),1.5211,1.4232,0.0000,0.3768,0.7902
29,Daubechies 30 + MEL (c1),1.5211,1.4224,0.0000,0.3781,0.7905
30,Daubechies 40 + MEL (c1),1.5217,1.4218,0.0000,0.3795,0.7910
31,Daubechies 24 + MEL (c1),1.5218,1.4220,0.0000,0.3794,0.7911
32,Daubechies 28 + MEL (c1),1.5228,1.4241,0.0000,0.3772,0.7913
33,Daubechies 34 + MEL (c1),1.5229,1.4245,0.0000,0.3767,0.7913
34,Daubechies 14 + MEL (c1),1.5233,1.4207,0.0000,0.3826,0.7925
35,Daubechies 42 + MEL (c1),1.5234,1.4255,0.0000,0.3757,0.7914
36,Daubechies 10 + LFCC (c1),1.5234,1.4546,0.0000,0.3339,0.7837
37,Daubechies 36 + MEL (c1),1.5236,1.4228,0.0000,0.3800,0.7923
38,Daubechies 44 + MEL (c1),1.5252,1.4283,0.0000,0.3733,0.7920
39,Daubechies 38 + MEL (c1),1.5252,1.4295,0.0000,0.3716,0.7917
40,Daubechies 8 + LFCC (c1),1.5253,1.4580,0.0000,0.3307,0.7842
41,Daubechies 46 + MEL (c1),1.5258,1.4338,0.0000,0.3659,0.7911
42,Daubechies 12 + MEL (c1),1.5265,1.4318,0.0000,0.3696,0.7922
43,Daubechies 4 + MEL (c1),1.5294,1.4577,0.0000,0.3349,0.7874
44,Daubechies 6 + LFCC (c1),1.5342,1.4772,0.0000,0.3117,0.7857
45,Daubechies 22 + BARK (c1),1.5385,1.4382,0.0000,0.3717,0.7996
46,Daubechies 10 + MEL (c1),1.5395,1.4595,0.0000,0.3417,0.7948
47,Daubechies 32 + BARK (c1),1.5404,1.4448,0.0000,0.3638,0.7993
48,Daubechies 4 + BARK (c1),1.5406,1.4543,0.0000,0.3502,0.7970
49,Daubechies 26 + BARK (c1),1.5406,1.4448,0.0000,0.3639,0.7995
50,Daubechies 30 + BARK (c1),1.5413,1.4450,0.0000,0.3644,0.8000
51,Daubechies 24 + BARK (c1),1.5415,1.4470,0.0000,0.3617,0.7997
52,Daubechies 20 + BARK (c1),1.5427,1.4503,0.0000,0.3580,0.7997
53,Daubechies 36 + BARK (c1),1.5432,1.4459,0.0000,0.3648,0.8012
54,Daubechies 8 + MEL (c1),1.5433,1.4737,0.0000,0.3250,0.7939
55,Daubechies 42 + BARK (c1),1.5433,1.4480,0.0000,0.3620,0.8008
56,Daubechies 34 + BARK (c1),1.5436,1.4499,0.0000,0.3594,0.8005
57,Daubechies 40 + BARK (c1),1.5436,1.4493,0.0000,0.3604,0.8007
58,Daubechies 14 + BARK (c1),1.5440,1.4466,0.0000,0.3647,0.8016
59,Daubechies 12 + BARK (c1),1.5445,1.4470,0.0000,0.3645,0.8019
60,Daubechies 28 + BARK (c1),1.5446,1.4531,0.0000,0.3557,0.8004
61,Daubechies 16 + BARK (c1),1.5450,1.4527,0.0000,0.3567,0.8009
62,Daubechies 44 + BARK (c1),1.5451,1.4499,0.0000,0.3609,0.8016
63,Daubechies 46 + BARK (c1),1.5451,1.4536,0.0000,0.3555,0.8007
64,Daubechies 18 + BARK (c1),1.5459,1.4536,0.0000,0.3563,0.8013
65,Daubechies 38 + BARK (c1),1.5476,1.4581,0.0000,0.3513,0.8015
66,Daubechies 6 + MEL (c1),1.5517,1.4893,0.0000,0.3104,0.7960
67,Daubechies 10 + BARK (c1),1.5572,1.4722,0.0000,0.3400,0.8050
68,Daubechies 8 + BARK (c1),1.5631,1.4925,0.0000,0.3164,0.8041
69,Daubechies 6 + BARK (c1),1.5638,1.4903,0.0000,0.3203,0.8053
70,Haar + MEL (c2),1.6068,1.5117,0.0000,0.3296,0.8326
71,Haar + LFCC (c2),1.6076,1.5045,0.0000,0.3408,0.8351
72,Haar + BARK (c2),1.6123,1.5129,0.0000,0.3332,0.8365
73,Daubechies 22 + LFCC (c2),1.6199,1.4893,0.0000,0.3752,0.8478
74,Daubechies 32 + MEL (c2),1.6205,1.4913,0.0000,0.3728,0.8477
75,Daubechies 26 + MEL (c2),1.6207,1.4898,0.0000,0.3753,0.8482
76,Daubechies 22 + MEL (c2),1.6211,1.4929,0.0000,0.3710,0.8478
77,Daubechies 42 + LFCC (c2),1.6213,1.4934,0.0000,0.3705,0.8479
78,Daubechies 30 + MEL (c2),1.6215,1.4942,0.0000,0.3695,0.8478
79,Daubechies 26 + LFCC (c2),1.6216,1.4958,0.0000,0.3673,0.8475
80,Daubechies 18 + MEL (c2),1.6216,1.4896,0.0000,0.3765,0.8489
81,Daubechies 20 + MEL (c2),1.6216,1.4968,0.0000,0.3658,0.8473
82,Daubechies 24 + MEL (c2),1.6218,1.4936,0.0000,0.3708,0.8482
83,Daubechies 30 + LFCC (c2),1.6220,1.4966,0.0000,0.3664,0.8476
84,Daubechies 16 + MEL (c2),1.6221,1.4917,0.0000,0.3737,0.8488
85,Daubechies 40 + MEL (c2),1.6222,1.4941,0.0000,0.3704,0.8484
