# Batch convergence for: model=lstm-ae encoding=direct architecture= v_th=0 alpha=0 run=1
batch_num epoch batch_loss
0 1 0.999982
1 1 0.999973
2 1 0.999935
3 1 1.000015
4 1 1.000017
5 1 0.999965
6 1 1.000134
7 1 0.999994
8 1 0.999978
9 1 0.999980
10 1 0.999912
11 1 1.000082
12 1 0.999967
13 1 1.000316
14 1 1.000013
15 1 1.000079
16 1 0.999970
17 1 0.999986
18 1 0.999969
19 1 1.000166
20 1 0.999925
21 1 0.999991
22 1 1.000031
23 1 1.000065
24 1 1.000016
25 1 0.999942
26 1 1.000171
27 1 1.000028
28 1 0.999998
29 1 1.000030
30 1 1.000014
31 1 1.000105
32 1 0.999943
33 1 1.000007
34 1 1.000010
35 1 1.000000
36 1 1.000005
37 1 0.999996
38 1 0.999997
39 1 1.000037
40 1 0.999997
41 1 0.999997
42 1 1.000027
43 1 0.999998
44 1 0.999998
45 1 1.000000
46 1 1.000001
47 1 0.999858
48 1 1.000000
49 1 1.000107
50 2 0.999980
51 2 1.000004
52 2 0.999975
53 2 0.999999
54 2 0.999979
55 2 1.000000
56 2 0.999995
57 2 1.000013
58 2 0.999994
59 2 0.999980
60 2 1.000001
61 2 0.999990
62 2 1.000025
63 2 0.999974
64 2 0.999997
65 2 0.999983
66 2 0.999975
67 2 0.999997
68 2 0.999911
69 2 1.000110
70 2 0.999909
71 2 0.999891
72 2 1.000017
73 2 0.999996
74 2 0.999980
75 2 0.999941
76 2 0.999977
77 2 0.999988
78 2 1.000010
79 2 0.999977
80 2 0.999890
81 2 0.999991
82 2 0.999937
83 2 0.999991
84 2 0.999989
85 2 1.000012
86 2 1.000037
87 2 1.000024
88 2 1.000005
89 2 0.999983
90 2 1.000002
91 2 0.999955
92 2 1.000087
93 2 0.999978
94 2 1.000209
95 2 0.999927
96 2 1.000021
97 2 0.999669
98 2 0.999649
99 2 0.999983
100 3 1.000029
101 3 1.000048
102 3 0.999979
103 3 0.999995
104 3 0.999484
105 3 0.999969
106 3 0.999931
107 3 1.000058
108 3 0.999932
109 3 0.999992
110 3 0.999964
111 3 1.000026
112 3 0.999979
113 3 1.000447
114 3 0.999997
115 3 1.000067
116 3 1.000084
117 3 1.000199
118 3 1.000100
119 3 0.999866
120 3 0.999996
121 3 0.999984
122 3 0.999916
123 3 0.999943
124 3 1.000005
125 3 0.999991
126 3 0.999984
127 3 1.000024
128 3 0.999812
129 3 0.999317
130 3 0.999911
131 3 0.999798
132 3 0.999392
133 3 1.000004
134 3 1.000005
135 3 1.000113
136 3 0.999034
137 3 0.999869
138 3 0.999975
139 3 0.999994
140 3 1.000118
141 3 1.000008
142 3 0.999173
143 3 1.000978
144 3 0.999993
145 3 0.999989
146 3 0.998277
147 3 0.999928
148 3 0.999851
149 3 0.999171
150 4 1.000151
151 4 0.999827
152 4 1.000623
153 4 0.999997
154 4 1.000067
155 4 0.999478
156 4 0.999792
157 4 1.000229
158 4 0.997116
159 4 1.000072
160 4 1.000008
161 4 1.000008
162 4 1.000077
163 4 0.999763
164 4 1.000062
165 4 0.996007
166 4 0.999981
167 4 0.999518
168 4 1.001134
169 4 1.001998
170 4 1.000317
171 4 0.999432
172 4 1.001673
173 4 0.997963
174 4 0.996439
175 4 1.000033
176 4 0.998615
177 4 0.999694
178 4 0.995197
179 4 1.001006
180 4 1.000525
181 4 1.000238
182 4 1.000632
183 4 0.999771
184 4 1.000167
185 4 0.998175
186 4 0.999895
187 4 0.999652
188 4 0.999176
189 4 1.001455
190 4 0.992429
191 4 1.000380
192 4 0.998433
193 4 1.003095
194 4 1.001219
195 4 0.999999
196 4 1.000636
197 4 0.999861
198 4 0.999689
199 4 1.000892
200 5 1.001114
201 5 0.999673
202 5 0.992285
203 5 0.999712
204 5 1.000431
205 5 1.002201
206 5 1.000118
207 5 1.002637
208 5 1.000042
209 5 1.000300
210 5 1.000513
211 5 1.000096
212 5 1.000224
213 5 1.001559
214 5 0.993153
215 5 0.993051
216 5 0.999905
217 5 1.000159
218 5 1.000390
219 5 1.001317
220 5 1.000994
221 5 1.000036
222 5 0.999086
223 5 0.996209
224 5 1.000743
225 5 1.001270
226 5 0.989811
227 5 1.000520
228 5 1.000891
229 5 1.001452
230 5 1.001333
231 5 0.999952
232 5 0.998101
233 5 1.002503
234 5 1.002087
235 5 1.000353
236 5 0.992256
237 5 1.001565
238 5 1.000817
239 5 1.000269
240 5 0.999070
241 5 0.999625
242 5 0.998027
243 5 0.990332
244 5 0.999911
245 5 1.000472
246 5 1.000877
247 5 1.001154
248 5 0.997545
249 5 1.001105
