# Batch convergence for: model=snn-ae encoding=direct architecture=dense v_th=1 alpha=0.9 run=1
batch_num epoch batch_loss
0 1 1.162977
1 1 1.257815
2 1 1.059041
3 1 1.252059
4 1 1.186388
5 1 1.139887
6 1 1.130021
7 1 1.195049
8 1 1.036649
9 1 1.212288
10 1 1.119109
11 1 1.063892
12 1 1.198049
13 1 1.107049
14 1 1.139249
15 1 1.160094
16 1 1.077542
17 1 1.089624
18 1 1.232493
19 1 1.322580
20 1 1.145784
21 1 1.049013
22 1 1.044410
23 1 1.209958
24 1 1.086260
25 1 1.251411
26 1 1.343482
27 1 1.059561
28 1 1.076704
29 1 1.049860
30 1 1.275134
31 1 1.338676
32 1 1.056266
33 1 1.000141
34 1 1.373750
35 1 1.142664
36 1 1.179820
37 1 1.093869
38 1 1.069216
39 1 1.171393
40 1 1.342832
41 1 1.092199
42 1 1.123309
43 1 1.376247
44 1 1.030319
45 1 1.198490
46 1 1.128870
47 1 1.156700
48 1 1.152097
49 1 1.028042
50 2 1.123832
51 2 1.099029
52 2 1.153354
53 2 1.046688
54 2 1.134994
55 2 1.062554
56 2 1.072330
57 2 1.084612
58 2 1.215944
59 2 1.122017
60 2 1.049916
61 2 1.193662
62 2 1.009817
63 2 1.087016
64 2 1.226960
65 2 1.170184
66 2 1.130387
67 2 1.311041
68 2 1.086695
69 2 1.283935
70 2 1.073079
71 2 1.158609
72 2 1.283184
73 2 1.099468
74 2 1.212327
75 2 1.200895
76 2 1.099307
77 2 1.020585
78 2 1.223508
79 2 1.077978
80 2 1.121331
81 2 1.191371
82 2 1.239561
83 2 1.087693
84 2 1.224472
85 2 1.082422
86 2 1.118560
87 2 1.045838
88 2 1.261018
89 2 1.081344
90 2 1.205930
91 2 1.027626
92 2 1.082533
93 2 1.226650
94 2 1.047839
95 2 1.095083
96 2 1.030508
97 2 1.153359
98 2 1.138294
99 2 1.183058
100 3 1.107950
101 3 1.074105
102 3 1.046722
103 3 1.172713
104 3 1.095817
105 3 1.329149
106 3 1.231538
107 3 1.219086
108 3 1.023802
109 3 1.163278
110 3 1.237485
111 3 1.277180
112 3 1.263753
113 3 1.117675
114 3 1.151079
115 3 1.295266
116 3 1.196739
117 3 1.046020
118 3 1.041611
119 3 1.261151
120 3 1.134644
121 3 1.339303
122 3 1.093584
123 3 1.209670
124 3 1.094464
125 3 1.028856
126 3 1.049371
127 3 1.088103
128 3 1.037470
129 3 1.033477
130 3 1.085135
131 3 1.059353
132 3 1.112604
133 3 1.015953
134 3 1.075991
135 3 0.998963
136 3 1.183318
137 3 1.170046
138 3 1.074029
139 3 1.093259
140 3 1.047977
141 3 1.106519
142 3 1.099900
143 3 1.163198
144 3 1.224130
145 3 1.195899
146 3 1.038007
147 3 1.066294
148 3 1.087405
149 3 1.157941
150 4 1.093319
151 4 0.976820
152 4 0.927292
153 4 1.147729
154 4 1.027381
155 4 1.163729
156 4 1.161220
157 4 1.209160
158 4 1.215960
159 4 1.057165
160 4 1.094807
161 4 1.097709
162 4 1.039810
163 4 1.102115
164 4 1.085833
165 4 1.066613
166 4 1.234891
167 4 1.205441
168 4 1.151625
169 4 1.115418
170 4 1.210231
171 4 1.251599
172 4 1.199370
173 4 1.076378
174 4 1.134366
175 4 1.050836
176 4 1.028741
177 4 1.181980
178 4 1.056791
179 4 1.244946
180 4 1.036783
181 4 1.082708
182 4 1.044697
183 4 1.109285
184 4 1.026583
185 4 1.165162
186 4 1.184684
187 4 1.012012
188 4 1.082714
189 4 1.021959
190 4 1.065671
191 4 1.148199
192 4 1.091607
193 4 1.110614
194 4 0.998745
195 4 1.079701
196 4 1.061540
197 4 1.013438
198 4 1.197969
199 4 1.137867
200 5 0.998511
201 5 1.033605
202 5 1.149984
203 5 1.075974
204 5 1.091591
205 5 1.068015
206 5 1.062691
207 5 1.126743
208 5 1.088017
209 5 1.146856
210 5 1.058704
211 5 1.083097
212 5 1.053717
213 5 1.075161
214 5 1.105217
215 5 1.108024
216 5 1.116584
217 5 1.197487
218 5 1.248541
219 5 1.101094
220 5 1.055309
221 5 1.109739
222 5 1.282873
223 5 1.066851
224 5 1.081370
225 5 0.997607
226 5 1.242323
227 5 1.236735
228 5 1.118243
229 5 1.033450
230 5 1.024102
231 5 1.121576
232 5 1.135544
233 5 1.042579
234 5 0.999095
235 5 1.133364
236 5 1.082854
237 5 1.103487
238 5 1.115839
239 5 1.243901
240 5 1.089790
241 5 1.082145
242 5 1.089081
243 5 1.017619
244 5 1.128023
245 5 1.064321
246 5 1.055200
247 5 1.069907
248 5 1.134767
249 5 1.067096
