# Batch convergence for: model=snn-ae encoding=direct architecture=conv1d v_th=1.5 alpha=0.8 run=1
batch_num epoch batch_loss
0 1 1.145164
1 1 1.202379
2 1 0.972547
3 1 1.218099
4 1 1.124258
5 1 0.926754
6 1 0.993656
7 1 0.935534
8 1 0.873024
9 1 0.850341
10 1 1.003014
11 1 0.952663
12 1 0.790986
13 1 0.822130
14 1 1.034607
15 1 0.868961
16 1 0.754827
17 1 0.840577
18 1 0.788915
19 1 0.786650
20 1 0.847513
21 1 0.779514
22 1 0.796368
23 1 0.791885
24 1 0.858285
25 1 0.735371
26 1 0.764233
27 1 0.685856
28 1 0.810261
29 1 0.708542
30 1 0.700910
31 1 0.722930
32 1 0.829759
33 1 0.685583
34 1 0.743215
35 1 0.755819
36 1 0.757151
37 1 0.734082
38 1 0.735255
39 1 0.695207
40 1 0.714516
41 1 0.706645
42 1 0.707666
43 1 0.687275
44 1 0.698938
45 1 0.664133
46 1 0.652006
47 1 0.676940
48 1 0.599354
49 1 0.672969
50 1 0.603714
51 1 0.703304
52 1 0.570904
53 1 0.632060
54 1 0.594167
55 1 0.643892
56 1 0.550744
57 1 0.605416
58 1 0.542170
59 1 0.571324
60 1 0.545857
61 1 0.505575
62 1 0.524369
63 1 0.605078
64 1 0.477280
65 1 0.534831
66 1 0.431651
67 1 0.550760
68 1 0.447546
69 1 0.463563
70 1 0.472311
71 1 0.440150
72 1 0.427965
73 1 0.388266
74 1 0.432878
75 1 0.534198
76 1 0.395069
77 1 0.418582
78 1 0.340814
79 1 0.401571
80 1 0.345234
81 1 0.344495
82 1 0.349994
83 1 0.358444
84 1 0.313225
85 1 0.306825
86 1 0.391458
87 1 0.559617
88 1 0.280497
89 1 0.465830
90 1 0.254366
91 1 0.285171
92 1 0.294329
93 1 0.241880
94 1 0.255832
95 1 0.286016
96 1 0.240884
97 1 0.193962
98 1 0.229940
99 1 0.203415
100 1 0.207977
101 1 0.203358
102 1 0.376003
103 1 0.196712
104 1 0.178690
105 1 0.218976
106 1 0.201315
107 1 0.157838
108 1 0.291226
109 1 0.157397
110 1 0.151346
111 1 0.133000
112 1 0.157056
113 1 0.127298
114 1 0.157365
115 1 0.179378
116 1 0.150502
117 1 0.106521
118 1 0.230765
119 1 0.096543
120 1 0.103052
121 1 0.145127
122 1 0.093480
123 1 0.116845
124 1 0.099565
125 1 0.124139
126 1 0.070323
127 1 0.081950
128 1 0.084982
129 1 0.126461
130 1 0.073798
131 1 0.103760
132 1 0.068529
133 1 0.082879
134 1 0.056272
135 1 0.097972
136 1 0.053104
137 1 0.075606
138 1 0.067160
139 1 0.093671
140 1 0.098092
141 1 0.062670
142 1 0.117684
143 1 0.040783
144 1 0.087831
145 1 0.254789
146 1 0.089998
147 1 0.060552
148 1 0.093658
149 1 0.060980
150 1 0.043523
151 1 0.149868
152 1 0.067688
153 1 0.034563
154 1 0.051794
155 1 0.030789
156 1 0.035379
157 1 0.045903
158 1 0.521333
159 1 0.031117
160 1 0.042066
161 1 0.027871
162 1 0.261396
163 1 0.036255
164 1 0.053919
165 1 0.075325
166 1 0.024414
167 1 0.060988
168 1 0.024177
169 1 0.108038
170 1 0.064750
171 1 0.569202
172 1 0.046805
173 1 0.053624
174 1 0.130535
175 1 0.041531
176 1 0.073626
177 1 0.023515
178 1 0.050936
179 1 0.022169
180 1 0.050115
181 1 0.021940
182 1 0.122098
183 1 0.019229
184 1 0.024192
185 1 0.020131
186 1 0.033778
187 1 0.019153
188 1 0.055225
189 1 0.148013
190 1 0.026024
191 1 0.332965
192 1 0.032495
193 1 0.018677
194 1 0.022860
195 1 0.049174
196 1 0.029287
197 1 0.020218
198 1 0.057333
199 1 0.034220
200 1 0.127728
201 1 0.043361
202 1 0.042849
203 1 0.035039
204 1 0.020367
205 1 0.017162
206 1 0.013238
207 1 0.041801
208 1 0.014263
209 1 0.034160
210 1 0.026520
211 1 0.026400
212 1 0.042139
213 1 0.035196
214 1 0.015109
215 1 0.047491
216 1 0.011459
217 1 0.013591
218 1 0.010578
219 1 0.056415
220 1 0.010971
221 1 0.046775
222 1 0.019248
223 1 0.026336
224 1 0.016154
225 1 0.009893
226 1 0.125928
227 1 0.011889
228 1 0.089631
229 1 0.035007
230 1 0.439295
231 1 0.035003
232 1 0.034007
233 1 0.041918
234 1 0.025736
235 1 0.019067
236 1 0.014355
237 1 0.019651
238 1 0.025569
239 1 0.010139
240 1 0.013909
241 1 0.008944
242 1 0.028254
243 1 0.022782
244 1 0.016141
245 1 0.008077
246 1 0.024015
247 1 0.023435
248 1 0.014005
249 1 0.050618
250 1 0.020349
251 1 0.013958
252 1 0.008887
253 1 0.021537
254 1 0.033480
255 1 0.010418
256 1 0.008893
257 1 0.198288
258 1 0.031260
259 1 0.010869
260 1 0.021200
261 1 0.009780
262 1 0.027164
263 1 0.008035
264 1 0.044949
265 1 0.218515
266 1 0.010192
267 1 0.028722
268 1 0.018629
269 1 0.219684
270 1 0.006007
271 1 0.018382
272 1 0.006882
273 1 0.021305
274 1 0.028691
275 1 0.011506
276 1 0.025801
277 1 0.037682
278 1 0.005709
279 1 0.022876
280 1 0.005384
281 1 0.006150
282 1 0.005944
283 1 0.005371
284 1 0.006170
285 1 0.026989
286 1 0.004975
287 1 0.012845
288 1 0.033238
289 1 0.022995
290 1 0.002775
291 1 0.002857
292 1 0.028421
293 1 0.024079
294 1 0.030449
295 1 0.002365
296 1 0.017804
297 1 0.012777
298 1 0.003729
299 1 0.002587
300 1 0.002906
301 1 0.002586
302 1 0.004606
303 1 0.016673
304 1 0.003331
305 1 0.016834
306 1 0.019287
307 1 0.014707
308 1 0.027779
309 1 0.341211
310 1 0.001638
311 1 0.002124
312 1 0.015138
313 1 0.012951
314 1 0.003267
315 1 0.041619
316 1 0.033397
317 1 0.002884
318 1 0.013056
319 1 0.510759
320 1 0.005818
321 1 0.030347
322 1 0.002842
323 1 0.314405
324 1 0.002870
325 1 0.004530
326 1 0.013669
327 1 0.301876
328 1 0.003878
329 1 0.018441
330 1 0.653281
331 1 0.013712
332 1 0.005389
333 1 0.030158
334 1 0.004847
335 1 0.004819
336 1 0.007740
337 1 0.030077
338 1 0.009894
339 1 0.009380
340 1 0.005430
341 1 0.022734
342 1 0.009446
343 1 0.004942
344 1 0.007239
345 1 0.010052
346 1 0.501802
347 1 0.020830
348 1 0.004093
349 1 0.014853
350 1 0.003367
351 1 0.025079
352 1 0.003778
353 1 0.024358
354 1 0.003643
355 1 0.025187
356 1 0.004407
357 1 0.035730
358 1 0.018823
359 1 0.005879
360 1 0.002709
361 1 0.017038
362 1 0.004466
363 1 0.002763
364 1 0.003903
365 1 0.002784
366 1 0.001952
367 1 0.059744
368 1 0.001315
369 1 0.001574
370 1 0.010162
371 1 0.021760
372 1 0.006984
373 1 0.106586
374 1 0.001376
375 1 0.001899
376 1 0.002358
377 1 0.002043
378 1 0.005955
379 1 0.001063
380 1 0.003706
381 1 0.025879
382 1 0.003383
383 1 0.001351
384 1 0.004000
385 1 0.101489
386 1 0.001345
387 1 0.000790
388 1 0.002663
389 1 0.000933
390 1 0.000874
391 1 0.000774
392 1 0.012454
393 1 0.004199
394 1 0.000712
395 1 0.036390
396 1 0.000826
397 1 0.031074
398 1 0.004589
399 1 0.019222
400 1 0.004934
401 1 0.044698
402 1 0.039379
403 1 0.124725
404 1 0.001788
405 1 0.000887
406 1 0.063205
407 1 0.002441
408 1 0.005982
409 1 0.037498
410 1 0.002168
411 1 0.001574
412 1 0.002721
413 1 0.225738
414 1 0.003190
415 1 0.008365
416 1 0.002960
417 1 0.001742
418 1 0.053428
419 1 0.001753
420 1 0.005472
421 1 0.004018
422 1 0.277090
423 1 0.020787
424 1 0.002572
425 1 0.008640
426 1 0.025052
427 1 0.004077
428 1 0.004246
429 1 0.021691
430 1 0.434631
431 1 0.060569
432 1 0.005210
433 1 0.026062
434 1 0.003170
435 1 0.030123
436 1 0.012381
