# model=snn-ae encoding=direct architecture=dense v_th=1.5 alpha=0.99 run=2
epoch train_loss val_loss
1 0.112063 0.136376
2 0.034227 0.133969
3 0.034498 0.134230
4 0.034638 0.140049
5 0.035355 0.134021
6 0.033891 0.127979
7 0.032897 0.130879
8 0.031549 0.132831
9 0.030989 0.126687
10 0.031170 0.127584
11 0.030903 0.126425
12 0.030413 0.126094
13 0.030109 0.126343
14 0.030092 0.129864
15 0.030552 0.129555
16 0.030702 0.126632
17 0.030433 0.124831
18 0.030204 0.124262
19 0.029587 0.124449
20 0.030220 0.126373
21 0.030217 0.126273
22 0.030403 0.128009
23 0.030459 0.126189
