# model=lstm-ae encoding=direct architecture= v_th=0 alpha=0 run=2
epoch train_loss val_loss
1 1.000039 0.999943
2 1.000019 1.000194
3 0.999862 0.998789
4 1.000094 0.999120
5 0.999799 0.998856
6 0.999659 0.998236
7 0.999902 0.998928
8 0.999682 0.999716
9 0.999557 0.997952
10 0.999677 0.997634
11 0.999500 0.997273
12 0.999448 0.997029
13 0.999308 0.998327
14 0.999138 0.996385
15 0.999244 0.996478
16 0.999049 0.995724
17 0.998961 0.995027
18 0.999210 0.995571
19 0.998992 0.995858
20 0.998917 0.995070
21 0.999072 0.995108
22 0.998926 0.995033
