# model=lstm-ae encoding=poisson architecture= v_th=0 alpha=0 run=3
epoch train_loss val_loss
1 0.143507 0.114575
2 0.140195 0.118435
3 0.127103 0.111576
4 0.126886 0.114076
5 0.125736 0.111751
6 0.124398 0.111299
7 0.129016 0.113251
8 0.126090 0.111446
9 0.123765 0.111697
10 0.123445 0.110988
11 0.123516 0.110969
12 0.122785 0.110513
13 0.122721 0.110444
14 0.123943 0.110236
15 0.122339 0.110168
16 0.123132 0.110209
17 0.121867 0.110304
18 0.123061 0.110490
19 0.123067 0.110186
20 0.122078 0.109937
21 0.121885 0.109889
22 0.123400 0.111731
23 0.148863 0.113045
24 0.130809 0.113114
25 0.145636 0.114935
26 0.129421 0.111387
