# model=lstm-ae encoding=direct architecture= v_th=0 alpha=0 run=2
epoch train_loss val_loss
1 1.000034 1.000309
2 1.000154 1.000141
3 0.999922 0.999154
4 0.999975 0.999614
5 0.999878 0.999226
6 0.999802 0.999198
7 0.999855 0.999112
8 0.999816 0.999085
9 0.999655 0.998632
10 0.999725 0.998318
11 0.999620 0.997921
12 0.999568 0.997623
13 0.999479 0.998567
14 0.999295 0.997055
15 0.999393 0.996811
16 0.999131 0.996207
17 0.999062 0.995347
18 0.999283 0.996017
19 0.999182 0.996430
20 0.999019 0.995595
21 0.999093 0.995442
22 0.998995 0.995452
