# Batch convergence for: model=lstm-ae encoding=poisson architecture= v_th=0 alpha=0 run=1
batch_num epoch batch_loss
0 1 0.085933
1 1 0.146986
2 1 0.175766
3 1 0.112828
4 1 0.593210
5 1 0.136031
6 1 0.198408
7 1 0.069451
8 1 0.085148
9 1 0.112476
10 1 0.108024
11 1 0.170431
12 1 0.144882
13 1 0.135620
14 1 0.136171
15 1 0.126574
16 1 0.133187
17 1 0.178788
18 1 0.165161
19 1 0.110124
20 1 0.130473
21 1 0.044049
22 1 0.117268
23 1 0.140901
24 1 0.110474
25 1 0.233492
26 1 0.136024
27 1 0.136963
28 1 0.103618
29 1 0.179736
30 1 0.164463
31 1 0.114668
32 1 0.173858
33 1 0.105194
34 1 0.140360
35 1 0.132685
36 1 0.112537
37 1 0.119517
38 1 0.083649
39 1 0.121229
40 1 0.149335
41 1 0.152984
42 1 0.082702
43 1 0.082590
44 1 0.112660
45 1 0.075613
46 1 0.091248
47 1 0.118044
48 1 0.151118
49 1 0.192379
50 1 0.036790
51 1 0.214610
52 1 0.152617
53 1 0.039651
54 1 0.604348
55 1 0.120326
56 1 0.169758
57 1 0.121490
58 1 0.145069
59 1 0.190843
60 1 0.141412
61 1 0.186422
62 1 0.201374
63 1 0.127709
64 1 0.158544
65 1 0.105676
66 1 0.031586
67 1 0.383927
68 1 0.088453
69 1 0.080460
70 1 0.119607
71 1 0.030577
72 1 0.036927
73 1 0.164884
74 1 0.162642
75 1 0.177785
76 1 0.130309
77 1 0.165099
78 1 0.098488
79 1 0.120930
80 1 0.079762
81 1 0.149266
82 1 0.133820
83 1 0.135048
84 1 0.198994
85 1 0.232611
86 1 0.111051
87 1 0.174250
88 1 0.200354
89 1 0.173349
90 1 0.046586
91 1 0.192450
92 1 0.046338
93 1 0.093478
94 1 0.098659
95 1 0.181384
96 1 0.101391
97 1 0.110374
98 1 0.104083
99 1 0.114357
100 2 0.091129
101 2 0.103381
102 2 0.087914
103 2 0.103448
104 2 0.150160
105 2 0.110053
106 2 0.154886
107 2 0.127224
108 2 0.080072
109 2 0.138482
110 2 0.114168
111 2 0.040776
112 2 0.117713
113 2 0.664772
114 2 0.099224
115 2 0.139565
116 2 0.088354
117 2 0.106127
118 2 0.068309
119 2 0.125457
120 2 0.131024
121 2 0.090831
122 2 0.053502
123 2 0.118000
124 2 0.090397
125 2 0.160996
126 2 0.160101
127 2 0.125884
128 2 0.161239
129 2 0.159101
130 2 0.134967
131 2 0.118031
132 2 0.161184
133 2 0.149390
134 2 0.177994
135 2 0.108942
136 2 0.106867
137 2 0.110323
138 2 0.211848
139 2 0.185515
140 2 0.118844
141 2 0.221270
142 2 0.205978
143 2 0.109875
144 2 0.114576
145 2 0.139131
146 2 0.180929
147 2 0.132664
148 2 0.135823
149 2 0.163506
150 2 0.066484
151 2 0.107231
152 2 0.120694
153 2 0.101773
154 2 0.141603
155 2 0.042298
156 2 0.406736
157 2 0.074532
158 2 0.131669
159 2 0.125998
160 2 0.133630
161 2 0.119119
162 2 0.129633
163 2 0.187441
164 2 0.078950
165 2 0.134920
166 2 0.047571
