# model=snn-ae encoding=direct architecture=conv1d v_th=0.5 alpha=0.9 run=2
epoch train_loss val_loss
1 0.951157 0.834075
2 0.921141 0.832676
3 0.910323 0.821888
4 0.890246 0.799618
5 0.890771 0.805189
6 0.881822 0.789472
7 0.881968 0.792735
8 0.878009 0.788314
9 0.863959 0.809200
10 0.863707 0.787488
11 0.866459 0.789901
12 0.864261 0.790117
13 0.857702 0.774026
14 0.862609 0.777062
15 0.849906 0.784837
16 0.853811 0.766888
17 0.849270 0.772632
18 0.849497 0.780383
19 0.850745 0.773948
20 0.847922 0.782099
21 0.841337 0.788620
