# model=snn-ae encoding=direct architecture=conv1d v_th=1 alpha=0.8 run=2
epoch train_loss val_loss
1 1.010626 0.873317
2 0.984203 0.849092
3 0.954837 0.842484
4 0.938019 0.818689
5 0.934794 0.815631
6 0.923027 0.801108
7 0.913097 0.804835
8 0.910472 0.797849
9 0.889363 0.810390
10 0.889751 0.788535
11 0.886547 0.795648
12 0.885914 0.789110
13 0.879224 0.794452
14 0.870842 0.788314
15 0.872287 0.778662
16 0.874132 0.780696
17 0.864415 0.768440
18 0.871693 0.776587
19 0.866552 0.767592
20 0.861100 0.775841
21 0.858725 0.775744
22 0.862836 0.771608
23 0.859332 0.774338
24 0.857323 0.767735
