# model=snn-ae encoding=latency architecture=conv1d v_th=1 alpha=0.99 run=1
epoch train_loss val_loss
1 0.492592 0.308578
2 0.234356 0.138917
3 0.145495 0.105879
4 0.129333 0.095490
5 0.115421 0.089480
6 0.107118 0.090284
7 0.101433 0.090807
8 0.102533 0.092995
9 0.098252 0.081488
10 0.098708 0.091349
11 0.100786 0.086434
12 0.098659 0.084363
13 0.095644 0.075139
14 0.099008 0.076063
15 0.098257 0.074316
16 0.098726 0.078989
17 0.098393 0.079474
18 0.096479 0.076464
19 0.096326 0.088224
20 0.097310 0.074126
21 0.095639 0.073961
22 0.093281 0.074380
23 0.094412 0.074814
24 0.094512 0.078223
25 0.094342 0.072203
26 0.091497 0.073531
27 0.093377 0.073314
28 0.090524 0.072063
29 0.090942 0.075583
30 0.091399 0.073236
