# model=snn-ae encoding=latency architecture=conv1d v_th=1.5 alpha=0.8 run=2
epoch train_loss val_loss
1 0.646735 0.490417
2 0.552256 0.470634
3 0.530238 0.431213
4 0.498182 0.405301
5 0.455750 0.373098
6 0.415035 0.325496
7 0.368689 0.297375
8 0.318982 0.259672
9 0.288351 0.226612
10 0.253458 0.212294
11 0.230259 0.201843
12 0.216470 0.178721
13 0.213745 0.175814
14 0.200339 0.164407
15 0.193582 0.155880
16 0.185309 0.158361
17 0.179561 0.159163
18 0.178285 0.142960
19 0.173278 0.143833
20 0.165000 0.140120
21 0.166461 0.136987
22 0.165383 0.133576
23 0.158660 0.122989
24 0.156913 0.128697
25 0.154403 0.131716
26 0.157301 0.128916
27 0.147119 0.130165
28 0.147860 0.124055
