# model=snn-ae encoding=poisson architecture=conv1d v_th=0.5 alpha=0.99 run=3
epoch train_loss val_loss
1 0.162952 0.096219
2 0.124518 0.086472
3 0.124039 0.085129
4 0.112857 0.091671
5 0.111710 0.100214
6 0.102019 0.090554
7 0.104107 0.080223
8 0.095933 0.078449
9 0.090407 0.077060
10 0.090589 0.078132
11 0.086987 0.078310
12 0.087778 0.079352
13 0.085079 0.074664
14 0.089317 0.064211
15 0.099351 0.065811
16 0.089304 0.072023
17 0.089298 0.062256
18 0.092314 0.064596
19 0.083433 0.065059
20 0.086215 0.074538
21 0.094095 0.062312
22 0.094560 0.063629
