# Batch convergence for: model=snn-ae encoding=poisson architecture=conv1d v_th=1 alpha=0.8 run=2
batch_num epoch batch_loss
0 1 0.082520
1 1 0.089830
2 1 0.127901
3 1 0.113434
4 1 0.947320
5 1 0.157277
6 1 0.404153
7 1 0.086930
8 1 0.037047
9 1 0.196613
10 1 0.051687
11 1 0.436363
12 1 0.261452
13 1 0.158602
14 1 0.256647
15 1 0.139510
16 1 0.077950
17 1 0.234930
18 1 0.253634
19 1 0.068698
20 1 0.134617
21 1 0.021442
22 1 0.079406
23 1 0.238550
24 1 0.126132
25 1 0.298853
26 1 0.265129
27 1 0.132379
28 1 0.105419
29 1 0.415383
30 1 0.180324
31 1 0.180635
32 1 0.437222
33 1 0.072970
34 1 0.200295
35 1 0.102011
36 1 0.249950
37 1 0.186854
38 1 0.028687
39 1 0.060159
40 1 0.098027
41 1 0.129586
42 1 0.050552
43 1 0.071441
44 1 0.114242
45 1 0.048536
46 1 0.104024
47 1 0.191683
48 1 0.264463
49 1 0.317442
50 1 0.018482
51 1 0.419799
52 1 0.099823
53 1 0.016500
54 1 1.272872
55 1 0.116075
56 1 0.263434
57 1 0.402651
58 1 0.035819
59 1 0.272368
60 1 0.137479
61 1 0.242177
62 1 0.248407
63 1 0.156460
64 1 0.295307
65 1 0.076584
66 1 0.010667
67 1 0.720709
68 1 0.077101
69 1 0.075612
70 1 0.130494
71 1 0.015483
72 1 0.018911
73 1 0.354106
74 1 0.094932
75 1 0.141926
76 1 0.117019
77 1 0.348556
78 1 0.133603
79 1 0.134966
80 1 1.263186
81 1 0.116844
82 1 0.122536
83 1 0.102516
84 1 0.202722
85 1 0.215773
86 1 0.087877
87 1 0.239183
88 1 0.217508
89 1 0.256864
90 1 0.036169
91 1 0.269983
92 1 0.019784
93 1 0.088798
94 1 0.094249
95 1 0.163569
96 1 0.076547
97 1 0.059212
98 1 0.144804
99 1 0.135064
100 2 0.213443
101 2 0.135293
102 2 0.155125
103 2 0.083947
104 2 0.163566
105 2 0.168628
106 2 0.087648
107 2 0.136540
108 2 0.081469
109 2 0.136914
110 2 0.172482
111 2 0.018351
112 2 0.129729
113 2 1.275181
114 2 0.079990
115 2 0.215018
116 2 0.050094
117 2 0.079644
118 2 0.036028
119 2 0.086671
120 2 0.075122
121 2 0.028344
122 2 0.015374
123 2 0.095947
124 2 0.036315
125 2 0.183339
126 2 0.158540
127 2 0.170226
128 2 0.156945
129 2 0.164484
130 2 0.076879
131 2 0.129826
132 2 0.213778
133 2 0.234421
134 2 0.250685
135 2 0.141174
136 2 0.071974
137 2 0.052720
138 2 0.220988
139 2 0.456184
140 2 0.068521
141 2 0.229559
142 2 0.334127
143 2 0.067639
144 2 0.123201
145 2 0.087913
146 2 0.189540
147 2 0.097432
148 2 0.104193
149 2 0.206797
150 2 0.019648
151 2 0.050707
152 2 0.088648
153 2 0.055282
154 2 0.114499
155 2 0.010556
156 2 0.770254
157 2 0.121649
158 2 0.202582
159 2 0.084349
160 2 0.078174
161 2 0.104142
162 2 0.096744
163 2 0.158708
164 2 0.047759
165 2 0.097571
166 2 0.018713
167 2 0.070372
168 2 0.226717
169 2 0.157774
170 2 0.038201
171 2 0.786452
172 2 0.238459
173 2 0.094235
174 2 0.072375
175 2 0.264041
176 2 0.149263
177 2 0.016214
178 2 0.114514
179 2 0.115556
180 2 0.227390
181 2 0.095664
182 2 0.058704
183 2 0.232732
184 2 0.367785
185 2 0.021037
186 2 0.257569
187 2 0.096837
188 2 0.140509
189 2 0.245466
190 2 0.168643
191 2 0.087233
192 2 0.088003
193 2 0.382852
194 2 1.058785
195 2 0.141327
196 2 0.175639
197 2 0.045597
198 2 0.110932
199 2 0.071599
200 3 0.383645
201 3 0.132519
202 3 0.035814
203 3 0.113801
204 3 0.010496
205 3 0.168817
206 3 0.103579
207 3 0.015229
208 3 0.942302
209 3 0.104450
210 3 0.131681
211 3 0.037975
212 3 0.117820
213 3 0.277581
214 3 0.164639
215 3 0.034840
216 3 0.303659
217 3 0.067837
218 3 1.049374
219 3 0.018612
220 3 0.125936
221 3 0.153398
222 3 0.053458
223 3 0.163522
224 3 0.133978
225 3 0.117000
226 3 0.080293
227 3 0.104270
228 3 0.189660
229 3 0.019453
230 3 0.102202
231 3 0.018133
232 3 0.058140
233 3 0.113722
234 3 0.075830
235 3 0.087192
236 3 0.133430
237 3 0.203524
