# model=snn-ae encoding=poisson architecture=conv1d v_th=1 alpha=0.99 run=2
epoch train_loss val_loss
1 0.174636 0.107671
2 0.131806 0.100928
3 0.129664 0.089674
4 0.113927 0.100672
5 0.113501 0.097278
6 0.106054 0.091903
7 0.101184 0.075510
8 0.093972 0.078407
9 0.092034 0.083397
10 0.092976 0.075539
11 0.087128 0.074098
12 0.083716 0.080232
13 0.085750 0.072169
14 0.090087 0.065589
15 0.091838 0.063645
16 0.085856 0.070181
17 0.086878 0.064004
18 0.093765 0.067546
19 0.083878 0.064391
20 0.082731 0.080132
