model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9955 0.7048 0.0045 0.0000 0.0000 85238400.0000 1504.5824 599136.4375 120225.0000 8523840.0000
lstm-ae latency lstm 0.000000 0.000000 0.2455 0.4880 0.0049 0.0000 0.0000 85238400.0000 1509.4813 298058.2083 120225.0000 8523840.0000
lstm-ae poisson lstm 0.000000 0.000000 0.1140 0.2306 -0.0005 0.0000 0.0000 85238400.0000 1549.9402 437661.2083 120225.0000 8523840.0000
snn-ae direct conv1d 0.500000 0.800000 0.6770 0.6094 0.0622 0.6667 0.4865 372376.6667 2.2723 2787.6435 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.7276 0.6240 -0.0079 0.6667 0.4872 372382.0000 3.2998 2993.2814 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.7990 0.6428 -0.1069 0.6667 0.4720 372265.3333 5.2710 2958.5075 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.6627 0.6085 0.0819 0.6667 0.4803 372329.0000 2.7160 2872.1034 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.6934 0.6231 0.0394 0.6667 0.4888 372393.6667 2.9657 2897.1012 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.8095 0.6555 -0.1214 0.6667 0.4756 372292.6667 2.2570 2581.8205 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.6347 0.5993 0.1207 0.6667 0.4787 372316.3333 2.1204 2776.7741 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.6859 0.6206 0.0498 0.6667 0.4811 372335.0000 2.1122 3003.5832 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.8075 0.6577 -0.1186 0.6667 0.4852 372366.3333 3.0474 2494.1378 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0884 0.2106 0.5947 0.4000 0.8728 375343.0000 2.2043 2038.7995 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.900000 0.0828 0.1981 0.6207 0.0000 0.8827 375419.0000 2.7666 2561.6095 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.990000 0.0843 0.2026 0.6139 0.1667 0.9038 375581.3333 2.2698 1795.3811 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.800000 0.0960 0.2207 0.5599 0.5778 0.8596 375241.6667 2.1497 1815.6681 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.900000 0.0820 0.2003 0.6241 0.6111 0.8957 375518.6667 2.1336 2044.0485 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.990000 0.0775 0.1923 0.6447 0.2222 0.9092 375622.3333 2.1700 2242.9111 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.800000 0.0836 0.2038 0.6169 0.6111 0.8788 375389.0000 2.2280 2152.1253 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.900000 0.0798 0.1982 0.6342 0.6111 0.8704 375325.0000 2.5775 2621.5308 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.990000 0.0830 0.2039 0.6195 0.2222 0.8909 375482.0000 2.1710 2049.9782 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0641 0.1770 -0.0373 0.2222 0.9868 376219.0000 2.3838 2575.6637 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0630 0.1809 -0.0196 0.6667 0.9921 376259.3333 2.2798 2765.4731 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.0631 0.1912 -0.0209 0.6111 1.0000 376319.6667 2.1687 1877.8506 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0639 0.1755 -0.0332 0.4444 0.9909 376250.0000 2.2016 1708.8749 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0643 0.1788 -0.0398 0.4444 0.9907 376248.3333 2.4527 1922.7338 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0667 0.2010 -0.0793 0.6111 0.9997 376318.0000 2.3330 2797.9500 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0653 0.1782 -0.0569 0.3889 0.9724 376107.6667 2.7499 1668.3770 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0652 0.1758 -0.0549 0.4444 0.9808 376172.3333 2.2694 1819.5481 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0659 0.1939 -0.0658 0.4444 0.9977 376302.6667 2.1863 2340.6892 37286.0000 36864.0000
