# model=snn-ae encoding=direct architecture=dense v_th=1 alpha=0.9 run=2
epoch train_loss val_loss
1 1.186137 1.144964
2 1.136111 1.157683
3 1.122354 1.129702
4 1.107815 1.128930
5 1.096322 1.108099
6 1.090436 1.110924
7 1.084023 1.098905
8 1.066861 1.095333
9 1.081378 1.086530
10 1.070009 1.086957
11 1.050451 1.102977
12 1.059283 1.075980
13 1.058831 1.077688
14 1.049031 1.072142
15 1.038796 1.073996
16 1.050855 1.062002
17 1.045249 1.069742
18 1.044498 1.065472
19 1.042576 1.061823
20 1.039927 1.063754
21 1.034822 1.070755
22 1.037240 1.056386
23 1.036304 1.057300
24 1.040308 1.049844
25 1.035952 1.049778
26 1.035247 1.051196
27 1.033595 1.039889
28 1.028693 1.051479
29 1.022070 1.044894
30 1.028422 1.047675
