# model=snn-ae encoding=direct architecture=dense v_th=1.5 alpha=0.99 run=2
epoch train_loss val_loss
1 1.071451 1.070463
2 1.023433 1.032546
3 1.018312 1.029078
4 1.011239 1.020998
5 1.010285 1.007731
6 1.005127 1.007547
7 1.001533 1.003063
8 0.989361 1.006356
9 0.986117 1.005402
10 0.979284 0.986550
11 0.982048 0.981237
12 0.974651 0.979339
13 0.967646 0.979617
14 0.960656 0.975455
15 0.962925 0.971724
16 0.967566 0.977691
17 0.963662 0.978282
18 0.970739 0.969867
19 0.961268 0.995716
20 0.965066 0.976849
21 0.952943 0.987690
22 0.960235 0.982997
23 0.966580 0.985887
