# model=snn-ae encoding=latency architecture=dense v_th=0.5 alpha=0.8 run=2
epoch train_loss val_loss
1 0.492713 0.272546
2 0.240186 0.170785
3 0.188792 0.146122
4 0.164026 0.140328
5 0.151020 0.132940
6 0.143920 0.118454
7 0.137082 0.116329
8 0.136555 0.112775
9 0.127745 0.115649
10 0.133577 0.108419
11 0.129875 0.104841
12 0.128876 0.107996
13 0.127037 0.109398
14 0.128059 0.107430
15 0.130037 0.104342
16 0.124338 0.105253
17 0.125383 0.106373
18 0.123602 0.107149
19 0.123065 0.114329
20 0.124878 0.106450
