# model=snn-ae encoding=latency architecture=dense v_th=1 alpha=0.8 run=2
epoch train_loss val_loss
1 0.638380 0.500648
2 0.561469 0.471183
3 0.525020 0.444996
4 0.494882 0.418289
5 0.463831 0.385953
6 0.419087 0.353439
7 0.371920 0.306328
8 0.337975 0.280268
9 0.301713 0.254953
10 0.279901 0.236712
11 0.257035 0.218756
12 0.241837 0.212246
13 0.235165 0.190184
14 0.225157 0.198425
15 0.219311 0.190266
16 0.205856 0.180884
17 0.206604 0.170186
18 0.195880 0.171570
19 0.194331 0.171616
20 0.190753 0.170544
21 0.191758 0.169456
22 0.185915 0.159279
23 0.184488 0.159010
24 0.182298 0.160095
25 0.179555 0.155112
26 0.176298 0.155089
27 0.170797 0.159013
28 0.171568 0.150613
29 0.167881 0.149111
30 0.165231 0.148161
