# model=snn-ae encoding=poisson architecture=dense v_th=0.5 alpha=0.99 run=1
epoch train_loss val_loss
1 0.224663 0.157656
2 0.180973 0.160941
3 0.179670 0.163244
4 0.168144 0.160309
5 0.164711 0.147537
6 0.156229 0.155909
7 0.157317 0.151096
8 0.151512 0.132598
9 0.144958 0.140637
10 0.146324 0.135030
11 0.142902 0.131447
12 0.140180 0.142558
13 0.140786 0.127063
14 0.137848 0.123883
15 0.139001 0.123140
16 0.135226 0.140209
17 0.136235 0.123797
18 0.134624 0.118904
19 0.133799 0.124206
20 0.132741 0.149872
21 0.140766 0.132153
22 0.138958 0.119272
23 0.133278 0.149592
