# model=snn-ae encoding=poisson architecture=dense v_th=1 alpha=0.8 run=2
epoch train_loss val_loss
1 0.232872 0.158686
2 0.200787 0.152968
3 0.185641 0.165035
4 0.175240 0.161274
5 0.163566 0.153894
6 0.162755 0.160390
7 0.155889 0.144246
8 0.146662 0.162387
9 0.149774 0.151983
10 0.143335 0.139690
11 0.141843 0.139259
12 0.143456 0.148088
13 0.141707 0.140395
14 0.143126 0.142524
15 0.141702 0.134148
16 0.136217 0.136240
17 0.135698 0.132895
18 0.135708 0.137764
19 0.132880 0.138442
20 0.132718 0.149278
21 0.130773 0.140200
22 0.130833 0.132783
23 0.128757 0.149898
24 0.126613 0.131286
25 0.128082 0.129364
26 0.126906 0.137453
27 0.130021 0.145645
28 0.122207 0.144230
29 0.123414 0.133248
30 0.123927 0.137376
