model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9968 0.7054 0.0032 0.0000 0.0000 85238400.0000 3216.1337 666859.6042 120225.0000 8523840.0000
lstm-ae latency lstm 0.000000 0.000000 0.2415 0.4863 0.0213 0.0000 0.0000 85238400.0000 1525.7852 385226.2708 120225.0000 8523840.0000
lstm-ae poisson lstm 0.000000 0.000000 0.1185 0.2728 -0.0408 0.0000 0.0000 85238400.0000 3296.0671 572978.8750 120225.0000 8523840.0000
snn-ae direct dense 0.500000 0.800000 1.0824 0.7568 -0.0824 0.0000 0.5053 372520.3333 1.7110 3698.4055 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 1.0970 0.7637 -0.0970 0.0000 0.4974 372459.6667 3.0898 3484.5265 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 1.1847 0.7942 -0.1846 0.0000 0.4977 372462.3333 1.6982 2981.2229 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 1.0664 0.7653 -0.0664 0.0000 0.4955 372445.3333 1.8020 4593.0076 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 1.0806 0.7598 -0.0806 0.0000 0.5075 372537.6667 1.9221 6078.3520 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 1.1636 0.7899 -0.1636 0.0000 0.4991 372473.3333 1.7682 3868.9369 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 1.0585 0.7587 -0.0585 0.0000 0.4901 372403.6667 1.9304 5035.0339 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 1.0649 0.7586 -0.0649 0.0000 0.4966 372453.6667 2.6336 3156.6576 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 1.1527 0.7909 -0.1527 0.0000 0.5006 372484.3333 2.5247 2976.8626 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.1335 0.2631 0.4590 0.0000 0.8828 375420.0000 1.8260 3377.8890 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.1291 0.2569 0.4766 0.0000 0.8844 375432.0000 1.8356 3154.4172 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.1374 0.2758 0.4431 0.0000 0.8849 375436.3333 2.2085 3139.6409 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.1386 0.2713 0.4382 0.0000 0.8703 375324.0000 1.7741 3299.7256 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.1317 0.2625 0.4664 0.0000 0.8784 375386.0000 4.6245 3136.1871 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.1404 0.2669 0.4312 0.0000 0.8730 375344.3333 3.2703 3267.8835 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.1455 0.2774 0.4105 0.0000 0.8657 375288.6667 1.7396 3436.2082 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.1470 0.2782 0.4043 0.0000 0.8615 375256.6667 1.8716 3038.3587 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.1246 0.2537 0.4952 0.0000 0.8909 375482.3333 1.9930 3539.5542 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.1228 0.1660 -0.0780 0.0000 0.9861 376213.0000 1.7776 2368.0529 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.1245 0.1712 -0.0929 0.0000 0.9671 376067.3333 27.1762 1984.5114 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1261 0.1656 -0.1073 0.0000 0.9593 376007.3333 2.9228 1892.6444 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.1246 0.1698 -0.0938 0.0000 0.9536 375964.0000 5.6272 5782.6144 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.1273 0.1785 -0.1179 0.0000 0.9542 375968.0000 5.2907 8008.6421 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1222 0.1681 -0.0733 0.0000 0.9862 376213.6667 2.1661 1807.1891 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.1244 0.1753 -0.0926 0.0000 0.9735 376116.3333 3.5384 3309.8645 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.1246 0.1754 -0.0940 0.0000 0.9678 376072.3333 2.9482 31265.2776 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1229 0.1668 -0.0792 0.0000 0.9852 376206.6667 1.7542 1948.6685 37286.0000 36864.0000
