# model=lstm-ae encoding=direct architecture= v_th=0 alpha=0 run=1
epoch train_loss val_loss
1 0.990004 0.984978
2 0.977361 0.985967
3 0.970867 0.962469
4 0.954150 0.955279
5 0.937039 1.006876
6 0.938634 0.958344
7 0.926501 0.950315
8 0.909189 0.945214
9 0.910135 0.945699
10 0.907197 0.953523
11 0.903377 0.937419
12 0.900245 0.947087
13 0.893769 0.937708
14 0.877652 0.946444
15 0.876786 0.935302
16 0.877748 0.948073
17 0.891100 0.944732
18 0.883929 0.919676
19 0.870916 0.939946
20 0.860375 0.947503
21 0.843374 0.924727
22 0.842184 0.934534
23 0.844534 0.948429
