# model=snn-ae encoding=direct architecture=recurrent v_th=1 alpha=0.9 run=2
epoch train_loss val_loss
1 0.336713 0.236109
2 0.265491 0.215725
3 0.227115 0.210590
4 0.220573 0.188816
5 0.207722 0.175376
6 0.204778 0.178503
7 0.201145 0.159609
8 0.192610 0.161694
9 0.188047 0.163106
10 0.187660 0.159320
11 0.186546 0.156981
12 0.180031 0.155458
13 0.179145 0.157882
14 0.182528 0.157769
15 0.175972 0.152442
16 0.179314 0.151999
17 0.174999 0.155898
18 0.176367 0.157140
19 0.175476 0.155276
20 0.175373 0.150257
21 0.175528 0.153842
22 0.176603 0.148048
23 0.171431 0.145927
24 0.175225 0.148337
25 0.172813 0.152660
26 0.178018 0.144950
27 0.176020 0.144185
28 0.171695 0.145216
29 0.174992 0.148221
30 0.173966 0.146599
