# Batch convergence for: model=snn-ae encoding=direct architecture=recurrent v_th=1 alpha=0.9 run=3
batch_num epoch batch_loss
0 1 0.222656
1 1 0.295534
2 1 0.274462
3 1 0.254622
4 1 0.489442
5 1 0.357453
6 1 0.324884
7 1 0.542511
8 1 0.253167
9 1 0.513775
10 1 0.420823
11 1 0.383340
12 1 0.234896
13 1 0.435634
14 1 0.340913
15 1 0.524905
16 1 0.575985
17 1 0.305283
18 1 0.730257
19 1 0.357823
20 1 0.637164
21 1 0.163002
22 1 0.347784
23 1 0.379650
24 1 0.373884
25 1 0.464319
26 1 0.501512
27 1 0.284514
28 1 0.038999
29 1 0.834589
30 1 0.509824
31 1 0.347211
32 1 0.567869
33 1 0.261201
34 1 0.495111
35 1 0.046787
36 1 0.380936
37 1 0.218055
38 1 0.179947
39 1 0.046767
40 1 0.206440
41 1 0.449339
42 1 0.292269
43 1 0.597030
44 1 0.296429
45 1 0.486011
46 1 0.403794
47 1 0.194823
48 1 0.368822
49 1 0.341624
50 1 0.134578
51 1 0.463453
52 1 0.335065
53 1 0.368747
54 1 0.267961
55 1 0.347318
56 1 0.470133
57 1 0.256191
58 1 0.042912
59 1 0.341230
60 1 0.198701
61 1 0.611802
62 1 0.451758
63 1 0.251169
64 1 0.506496
65 1 0.420300
66 1 0.174719
67 1 0.311557
68 1 0.414970
69 1 0.105290
70 1 0.335219
71 1 0.054477
72 1 0.130783
73 1 0.339525
74 1 0.263528
75 1 0.297915
76 1 0.341538
77 1 0.147802
78 1 0.388821
79 1 0.244939
80 1 0.224329
81 1 0.274297
82 1 0.038890
83 1 0.168384
84 1 0.328213
85 1 0.493826
86 1 0.150129
87 1 0.261900
88 1 0.353315
89 1 0.202305
90 1 0.153154
91 1 0.367592
92 1 0.122853
93 1 0.247843
94 1 0.223004
95 1 0.290672
96 1 0.324777
97 1 0.279020
98 1 0.229332
99 1 0.386982
100 2 0.243742
101 2 0.110118
102 2 0.317005
103 2 0.264225
104 2 0.270808
105 2 0.276017
106 2 0.430344
107 2 0.331288
108 2 0.301357
109 2 0.403914
110 2 0.305550
111 2 0.104568
112 2 0.258350
113 2 0.263411
114 2 0.324669
115 2 0.274847
116 2 0.318833
117 2 0.273386
118 2 0.166752
119 2 0.321854
120 2 0.290821
121 2 0.150202
122 2 0.090836
123 2 0.317194
124 2 0.216815
125 2 0.239411
126 2 0.240670
127 2 0.476343
128 2 0.476289
129 2 0.334619
130 2 0.427300
131 2 0.393389
132 2 0.354462
133 2 0.192569
134 2 0.217233
135 2 0.294103
136 2 0.086063
137 2 0.171464
138 2 0.395363
139 2 0.208489
140 2 0.042736
141 2 0.428271
142 2 0.401904
143 2 0.286153
144 2 0.232361
145 2 0.228264
146 2 0.382330
147 2 0.115802
148 2 0.368582
149 2 0.413362
150 2 0.153001
151 2 0.223666
152 2 0.228118
153 2 0.131811
154 2 0.147192
155 2 0.182854
156 2 0.289695
157 2 0.271823
158 2 0.168586
159 2 0.444995
160 2 0.189516
161 2 0.188337
162 2 0.038717
163 2 0.266631
164 2 0.320840
165 2 0.241629
166 2 0.190292
167 2 0.338909
168 2 0.269267
169 2 0.337882
170 2 0.266688
171 2 0.459434
172 2 0.265160
173 2 0.239503
174 2 0.254951
175 2 0.318232
176 2 0.286161
177 2 0.158011
178 2 0.325725
179 2 0.429771
180 2 0.215075
181 2 0.216437
182 2 0.046432
183 2 0.352740
184 2 0.336410
185 2 0.303329
186 2 0.252751
187 2 0.387748
188 2 0.371398
189 2 0.497471
190 2 0.257336
191 2 0.298690
192 2 0.214847
193 2 0.248697
194 2 0.142912
195 2 0.186655
196 2 0.217117
197 2 0.129177
198 2 0.240848
199 2 0.209548
200 3 0.562691
201 3 0.428416
202 3 0.182060
203 3 0.280970
204 3 0.164939
205 3 0.164325
206 3 0.203785
207 3 0.053945
208 3 0.211798
209 3 0.369782
210 3 0.301445
211 3 0.227477
212 3 0.444283
213 3 0.272067
214 3 0.287765
215 3 0.042595
216 3 0.341316
217 3 0.072613
218 3 0.077379
219 3 0.120792
220 3 0.294286
221 3 0.038547
222 3 0.105885
223 3 0.306470
224 3 0.283013
225 3 0.255686
226 3 0.240998
227 3 0.222771
228 3 0.180247
229 3 0.092061
230 3 0.165912
231 3 0.184192
232 3 0.129582
233 3 0.297952
234 3 0.348928
235 3 0.354507
236 3 0.175492
237 3 0.197106
238 3 0.300644
239 3 0.254762
240 3 0.176802
241 3 0.399471
242 3 0.221133
243 3 0.332843
244 3 0.315122
245 3 0.242949
246 3 0.328219
247 3 0.421806
248 3 0.215724
249 3 0.172298
250 3 0.267823
251 3 0.292085
252 3 0.341049
253 3 0.172263
254 3 0.248966
255 3 0.135505
256 3 0.104191
257 3 0.336835
258 3 0.317661
259 3 0.207942
260 3 0.270483
261 3 0.304322
262 3 0.213365
263 3 0.222668
264 3 0.380781
265 3 0.282641
266 3 0.173246
267 3 0.171015
268 3 0.215892
269 3 0.199816
270 3 0.221704
271 3 0.278966
272 3 0.338656
273 3 0.353218
274 3 0.171445
275 3 0.214651
276 3 0.099367
277 3 0.208156
278 3 0.286729
279 3 0.157566
280 3 0.113132
281 3 0.183538
282 3 0.229353
283 3 0.134009
284 3 0.316410
285 3 0.190795
286 3 0.277255
287 3 0.209414
288 3 0.207153
289 3 0.045899
290 3 0.196337
291 3 0.254540
292 3 0.184330
293 3 0.304190
294 3 0.192163
295 3 0.099416
296 3 0.187920
297 3 0.252550
298 3 0.165305
299 3 0.380934
300 4 0.360315
301 4 0.288770
302 4 0.244711
303 4 0.176578
304 4 0.045850
305 4 0.180387
306 4 0.209526
307 4 0.248193
308 4 0.191808
309 4 0.253553
310 4 0.264260
311 4 0.254911
312 4 0.130644
313 4 0.285833
314 4 0.277414
315 4 0.307719
316 4 0.053564
317 4 0.215133
318 4 0.188810
319 4 0.197753
320 4 0.275618
321 4 0.271573
322 4 0.187681
323 4 0.260295
324 4 0.244585
325 4 0.227642
326 4 0.142411
327 4 0.274673
328 4 0.133043
329 4 0.290513
330 4 0.225896
331 4 0.214645
332 4 0.350724
333 4 0.279123
334 4 0.310402
335 4 0.153570
336 4 0.149705
337 4 0.184778
338 4 0.218822
339 4 0.106978
340 4 0.188448
341 4 0.275152
342 4 0.201797
343 4 0.098866
344 4 0.252864
345 4 0.306999
346 4 0.267071
347 4 0.287820
348 4 0.161532
349 4 0.231761
350 4 0.268958
351 4 0.302573
352 4 0.137843
353 4 0.220700
354 4 0.140434
355 4 0.038240
356 4 0.145564
357 4 0.289686
358 4 0.250982
359 4 0.183596
360 4 0.161412
361 4 0.276051
362 4 0.199251
363 4 0.334496
364 4 0.259852
365 4 0.233615
366 4 0.195856
367 4 0.255774
368 4 0.087819
369 4 0.218036
370 4 0.134538
371 4 0.170952
372 4 0.193953
373 4 0.182675
374 4 0.174366
375 4 0.288536
376 4 0.254551
377 4 0.231522
378 4 0.038239
379 4 0.299320
380 4 0.357363
381 4 0.189576
382 4 0.253010
383 4 0.076755
384 4 0.149023
385 4 0.295786
386 4 0.167899
387 4 0.322190
388 4 0.245947
389 4 0.264270
390 4 0.194473
391 4 0.313472
392 4 0.046017
393 4 0.222649
394 4 0.210032
395 4 0.214075
396 4 0.275281
397 4 0.252021
398 4 0.186719
399 4 0.062627
400 5 0.158853
401 5 0.144914
402 5 0.149158
403 5 0.231815
404 5 0.222551
405 5 0.303043
406 5 0.325107
407 5 0.404597
408 5 0.241883
409 5 0.388525
410 5 0.308625
411 5 0.144577
412 5 0.042211
413 5 0.098343
414 5 0.224965
415 5 0.282509
416 5 0.151262
417 5 0.175331
418 5 0.289317
419 5 0.207492
420 5 0.359324
421 5 0.102144
422 5 0.249693
423 5 0.248397
424 5 0.214683
425 5 0.209917
426 5 0.096900
427 5 0.246775
428 5 0.444787
429 5 0.098471
430 5 0.167397
431 5 0.243750
432 5 0.163764
433 5 0.206284
434 5 0.200110
435 5 0.195801
436 5 0.144891
437 5 0.268816
438 5 0.098103
439 5 0.179691
440 5 0.200356
441 5 0.236600
442 5 0.170711
443 5 0.227869
444 5 0.219519
445 5 0.127518
446 5 0.132897
447 5 0.257693
448 5 0.323139
449 5 0.295205
450 5 0.238844
451 5 0.244988
452 5 0.178026
453 5 0.097975
454 5 0.290235
455 5 0.075233
456 5 0.230794
457 5 0.223629
458 5 0.284563
459 5 0.213222
460 5 0.321702
461 5 0.236477
462 5 0.292517
463 5 0.247116
464 5 0.273100
465 5 0.261209
466 5 0.167945
467 5 0.136522
468 5 0.163669
469 5 0.245539
470 5 0.186308
471 5 0.303895
472 5 0.081000
473 5 0.212900
474 5 0.038005
475 5 0.285753
476 5 0.194570
477 5 0.185356
478 5 0.264072
479 5 0.132222
480 5 0.184171
481 5 0.238379
482 5 0.200491
483 5 0.262515
484 5 0.090265
485 5 0.226493
486 5 0.295880
487 5 0.303030
488 5 0.217402
489 5 0.254048
490 5 0.129051
491 5 0.176206
492 5 0.300572
493 5 0.222038
494 5 0.065333
495 5 0.193701
496 5 0.253614
497 5 0.045829
498 5 0.152595
499 5 0.108794
500 6 0.042052
501 6 0.097656
502 6 0.045814
503 6 0.037998
504 6 0.270029
505 6 0.247408
506 6 0.130169
507 6 0.300307
508 6 0.323902
509 6 0.175177
510 6 0.202608
511 6 0.180963
512 6 0.174305
513 6 0.227116
514 6 0.301536
515 6 0.313564
516 6 0.178938
517 6 0.143302
518 6 0.148405
519 6 0.217946
520 6 0.290942
521 6 0.155527
522 6 0.167168
523 6 0.188911
524 6 0.318298
525 6 0.247725
526 6 0.187550
527 6 0.314966
528 6 0.183408
529 6 0.241268
530 6 0.253254
531 6 0.045735
532 6 0.306115
533 6 0.260621
534 6 0.155274
535 6 0.186612
536 6 0.166400
537 6 0.322986
538 6 0.211376
539 6 0.201857
540 6 0.165682
541 6 0.296202
542 6 0.175634
543 6 0.262959
544 6 0.268717
545 6 0.375159
546 6 0.167178
547 6 0.162722
548 6 0.167081
549 6 0.102776
550 6 0.185474
551 6 0.089873
552 6 0.171705
553 6 0.167702
554 6 0.357053
555 6 0.227712
556 6 0.235397
557 6 0.223153
558 6 0.278950
559 6 0.186343
560 6 0.185055
561 6 0.197359
562 6 0.126389
563 6 0.304848
564 6 0.123757
565 6 0.195260
566 6 0.309876
567 6 0.278103
568 6 0.328439
569 6 0.229506
570 6 0.100917
571 6 0.229894
572 6 0.190026
573 6 0.228056
574 6 0.252557
575 6 0.173802
576 6 0.105910
577 6 0.211655
578 6 0.333093
579 6 0.315733
580 6 0.230683
581 6 0.244508
582 6 0.211085
583 6 0.037855
584 6 0.253535
585 6 0.147774
586 6 0.252109
587 6 0.217686
588 6 0.135596
589 6 0.326895
590 6 0.183225
591 6 0.128277
592 6 0.246484
593 6 0.274911
594 6 0.308621
595 6 0.254816
596 6 0.222548
597 6 0.216014
598 6 0.194850
599 6 0.198023
600 7 0.041878
601 7 0.298960
602 7 0.182034
603 7 0.309106
604 7 0.190995
605 7 0.290647
606 7 0.354334
607 7 0.292885
608 7 0.233166
609 7 0.210458
