# model=snn-ae encoding=direct architecture=recurrent v_th=1.5 alpha=0.99 run=2
epoch train_loss val_loss
1 0.109493 0.068324
2 0.073412 0.063965
3 0.066468 0.057396
4 0.065793 0.056055
5 0.064570 0.055273
6 0.060691 0.058187
7 0.059901 0.050374
8 0.059648 0.055030
9 0.060462 0.051385
10 0.056948 0.047526
11 0.055991 0.044762
12 0.054405 0.042474
13 0.052979 0.042432
14 0.053003 0.043320
15 0.050697 0.041942
16 0.050670 0.040950
17 0.052087 0.042716
18 0.050545 0.044202
19 0.053007 0.042322
20 0.053462 0.042304
21 0.052440 0.043049
