# model=snn-ae encoding=latency architecture=recurrent v_th=0.5 alpha=0.8 run=3
epoch train_loss val_loss
1 0.736642 0.563397
2 0.600935 0.506395
3 0.563312 0.489806
4 0.531255 0.450640
5 0.492213 0.417621
6 0.455465 0.382228
7 0.417150 0.348949
8 0.371253 0.315575
9 0.328925 0.278073
10 0.297780 0.250601
11 0.273196 0.230836
12 0.245668 0.216762
13 0.235513 0.200788
14 0.227019 0.188014
15 0.211945 0.191786
16 0.210326 0.174479
17 0.200741 0.168095
18 0.193082 0.175597
19 0.191415 0.167614
20 0.185994 0.158352
21 0.183161 0.156607
22 0.180054 0.159360
23 0.178245 0.155202
24 0.177222 0.145655
25 0.169565 0.147273
26 0.170967 0.147849
27 0.166816 0.142240
28 0.162004 0.147161
29 0.161963 0.149922
30 0.162116 0.133018
