# model=snn-ae encoding=latency architecture=recurrent v_th=1 alpha=0.9 run=3
epoch train_loss val_loss
1 0.740270 0.534761
2 0.567369 0.460598
3 0.515195 0.435740
4 0.489631 0.422144
5 0.471242 0.403121
6 0.451282 0.385651
7 0.431613 0.372003
8 0.412462 0.353891
9 0.393508 0.340232
10 0.364041 0.315075
11 0.337457 0.293285
12 0.322001 0.283036
13 0.298571 0.264121
14 0.294523 0.250436
15 0.282555 0.239534
16 0.270610 0.234642
17 0.264667 0.227173
18 0.256803 0.223341
19 0.250433 0.220401
20 0.243018 0.222211
21 0.243911 0.210545
22 0.238824 0.206377
23 0.234820 0.207108
24 0.230528 0.205698
25 0.229327 0.201335
26 0.223729 0.202560
27 0.219979 0.199753
28 0.221151 0.198164
29 0.218205 0.194187
30 0.218283 0.190807
