# Batch convergence for: model=snn-ae encoding=latency architecture=recurrent v_th=1.5 alpha=0.99 run=2
batch_num epoch batch_loss
0 1 0.547163
1 1 0.712605
2 1 0.700946
3 1 0.516889
4 1 0.603679
5 1 0.616671
6 1 0.558465
7 1 0.577358
8 1 0.500980
9 1 0.519541
10 1 0.633882
11 1 0.532713
12 1 0.623471
13 1 0.695813
14 1 0.504324
15 1 0.501735
16 1 0.464176
17 1 0.434260
18 1 0.725642
19 1 0.542433
20 1 0.685968
21 1 0.104811
22 1 0.766684
23 1 0.367189
24 1 0.399617
25 1 0.516203
26 1 0.503814
27 1 0.484376
28 1 0.554902
29 1 0.632679
30 1 0.551333
31 1 0.427787
32 1 0.583684
33 1 0.504707
34 1 0.353326
35 1 0.549961
36 1 0.582673
37 1 0.360929
38 1 0.538330
39 1 0.600542
40 1 0.654439
41 1 0.364667
42 1 0.561970
43 1 0.458261
44 1 0.426868
45 1 0.322897
46 1 0.471338
47 1 0.472414
48 1 0.495789
49 1 0.657474
50 1 0.125481
51 1 0.518592
52 1 0.397040
53 1 0.175587
54 1 0.804466
55 1 0.485791
56 1 0.412543
57 1 0.574817
58 1 0.391727
59 1 0.482971
60 1 0.559247
61 1 0.632368
62 1 0.444404
63 1 0.471570
64 1 0.416152
65 1 0.433940
66 1 0.015528
67 1 0.520577
68 1 0.419743
69 1 0.545518
70 1 0.431486
71 1 0.392795
72 1 0.085927
73 1 0.380001
74 1 0.690135
75 1 0.587841
76 1 0.437697
77 1 0.531058
78 1 0.348627
79 1 0.324637
80 1 0.820235
81 1 0.392790
82 1 0.377747
83 1 0.452065
84 1 0.515226
85 1 0.412665
86 1 0.400389
87 1 0.567796
88 1 0.433127
89 1 0.466453
90 1 0.208650
91 1 0.454437
92 1 0.228740
93 1 0.457523
94 1 0.393681
95 1 0.412206
96 1 0.548820
97 1 0.321386
98 1 0.466107
99 1 0.445908
100 2 0.456559
101 2 0.358275
102 2 0.476085
103 2 0.362627
104 2 0.507103
105 2 0.484538
106 2 0.368489
107 2 0.407010
108 2 0.419467
109 2 0.518660
110 2 0.424266
111 2 0.099506
112 2 0.424302
113 2 0.792827
114 2 0.323113
115 2 0.383426
116 2 0.415275
117 2 0.508561
118 2 0.223011
119 2 0.365608
120 2 0.477761
121 2 0.463404
122 2 0.318187
123 2 0.477131
124 2 0.423073
125 2 0.396522
126 2 0.454257
127 2 0.459845
128 2 0.377783
129 2 0.470494
130 2 0.407937
131 2 0.356368
132 2 0.365727
133 2 0.408625
134 2 0.437433
135 2 0.501020
136 2 0.401563
137 2 0.335981
138 2 0.392676
139 2 0.592341
140 2 0.435138
141 2 0.467159
142 2 0.428730
143 2 0.363336
144 2 0.370716
145 2 0.330584
146 2 0.409110
147 2 0.420833
148 2 0.476060
149 2 0.361404
150 2 0.311191
151 2 0.510093
152 2 0.388963
153 2 0.354054
154 2 0.328738
155 2 0.015383
156 2 0.459058
157 2 0.515439
158 2 0.422860
159 2 0.311372
160 2 0.432003
161 2 0.370530
162 2 0.393787
163 2 0.411276
164 2 0.302141
165 2 0.345602
166 2 0.019213
167 2 0.374515
168 2 0.373384
169 2 0.502706
170 2 0.326778
171 2 0.464442
172 2 0.456777
173 2 0.431629
174 2 0.482485
175 2 0.381887
176 2 0.417053
177 2 0.162330
178 2 0.424688
179 2 0.422248
180 2 0.444649
181 2 0.379379
182 2 0.402113
183 2 0.411884
184 2 0.523042
185 2 0.099793
186 2 0.445987
187 2 0.400934
188 2 0.351390
189 2 0.446471
190 2 0.426119
191 2 0.290839
192 2 0.412714
193 2 0.405070
194 2 0.722358
195 2 0.416337
196 2 0.371581
197 2 0.388486
198 2 0.228608
199 2 0.457772
200 3 0.463859
201 3 0.448909
202 3 0.371330
203 3 0.374413
204 3 0.015311
205 3 0.454691
206 3 0.364756
207 3 0.258700
208 3 0.645479
209 3 0.473423
210 3 0.376385
211 3 0.317543
212 3 0.342071
213 3 0.387224
214 3 0.421888
215 3 0.299247
216 3 0.441212
217 3 0.382142
218 3 0.633838
219 3 0.077323
220 3 0.440907
221 3 0.424967
222 3 0.490902
223 3 0.456530
224 3 0.457256
225 3 0.303822
226 3 0.333218
227 3 0.370680
228 3 0.401897
229 3 0.247924
230 3 0.452172
231 3 0.180811
232 3 0.407432
233 3 0.415875
234 3 0.312443
235 3 0.458643
236 3 0.357342
237 3 0.410752
238 3 0.429999
239 3 0.383026
240 3 0.450060
241 3 0.290619
242 3 0.431148
243 3 0.386197
244 3 0.360999
245 3 0.405419
246 3 0.344760
247 3 0.399722
248 3 0.420850
249 3 0.321403
250 3 0.432350
251 3 0.406659
252 3 0.452617
253 3 0.409581
254 3 0.318833
255 3 0.372175
256 3 0.388123
257 3 0.311748
258 3 0.368259
259 3 0.440962
260 3 0.379160
261 3 0.407426
262 3 0.434348
