# model=snn-ae encoding=poisson architecture=recurrent v_th=0.5 alpha=0.99 run=3
epoch train_loss val_loss
1 0.351270 0.296096
2 0.288985 0.242642
3 0.260482 0.227684
4 0.241116 0.227389
5 0.238303 0.217644
6 0.225287 0.216938
7 0.223299 0.216414
8 0.221404 0.205961
9 0.215181 0.207722
10 0.214017 0.205338
11 0.212410 0.200946
12 0.210913 0.205688
13 0.205987 0.198074
14 0.205832 0.196811
15 0.202292 0.194237
16 0.202186 0.193708
17 0.202500 0.191894
18 0.201571 0.192371
19 0.196630 0.188924
20 0.197320 0.194650
21 0.195611 0.192415
22 0.192057 0.190541
23 0.190195 0.189592
24 0.193324 0.194837
