# model=snn-ae encoding=poisson architecture=recurrent v_th=1 alpha=0.8 run=1
epoch train_loss val_loss
1 0.148547 0.116319
2 0.138024 0.094733
3 0.123659 0.104677
4 0.123454 0.095856
5 0.120306 0.093701
6 0.117140 0.099181
7 0.117164 0.094672
8 0.111687 0.095353
9 0.111397 0.093361
10 0.106893 0.089121
11 0.104570 0.089314
12 0.106283 0.090467
13 0.106559 0.091375
14 0.108526 0.086516
15 0.103300 0.089656
16 0.101990 0.093692
17 0.101350 0.091233
18 0.102120 0.087713
19 0.107109 0.085672
20 0.101348 0.099799
21 0.103226 0.089124
22 0.103570 0.094737
23 0.103071 0.094622
24 0.098821 0.093986
