model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9955 0.7048 0.0045 0.0000 0.0000 85238400.0000 1450.6652 589393.0208 120225.0000 8523840.0000
lstm-ae latency lstm 0.000000 0.000000 0.2455 0.4880 0.0049 0.0000 0.0000 85238400.0000 1462.5683 295297.3646 120225.0000 8523840.0000
lstm-ae poisson lstm 0.000000 0.000000 0.1140 0.2306 -0.0005 0.0000 0.0000 85238400.0000 1447.6368 433864.2292 120225.0000 8523840.0000
snn-ae direct recurrent 0.500000 0.800000 0.1971 0.3681 -0.0818 0.6667 0.8804 375401.6667 87.5272 14849.3372 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.1773 0.3437 -0.0084 0.6667 0.9203 375707.6667 91.2811 14124.7396 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0956 0.2033 0.1569 0.5556 0.8951 375514.6667 89.4090 10043.8971 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.1370 0.2678 -0.0725 0.6667 0.8066 374834.3333 87.7415 13351.1605 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.1381 0.2723 -0.1103 0.6667 0.8248 374974.6667 84.2730 14090.0993 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0582 0.1298 0.1937 0.0000 0.9047 375588.0000 87.0566 10110.3304 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0927 0.1816 -0.0285 0.1667 0.9149 375666.3333 87.5468 5963.1554 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0946 0.1990 -0.0527 0.6111 0.8469 375144.3333 88.4370 11405.1711 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0436 0.1046 0.1505 0.2222 0.8963 375523.3333 90.8459 12575.8874 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0941 0.2051 0.6229 0.4444 0.9120 375644.0000 88.2196 11895.8084 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0870 0.1952 0.6521 0.2222 0.8999 375551.0000 102.0393 13156.2409 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0776 0.1780 0.6883 0.4444 0.9239 375735.3333 95.0185 11295.9181 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.1282 0.2509 0.4176 0.8000 0.8498 375166.6667 88.8332 14820.5716 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.1410 0.2774 0.3994 0.6667 0.8803 375400.3333 84.4697 11797.7064 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.1127 0.2317 0.5409 0.5556 0.8942 375507.6667 88.3930 11053.3947 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0937 0.2021 0.4440 0.4444 0.7907 374712.3333 86.9478 15023.9889 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.1190 0.2461 0.3474 0.7000 0.8677 375303.6667 87.0071 13947.1950 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.1440 0.2776 0.2961 0.6667 0.8736 375349.0000 86.3804 12563.5592 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.1570 0.2867 -0.1552 0.4000 0.9206 375710.3333 101.8478 13367.0195 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.1676 0.3122 -0.0673 0.4333 0.9472 375914.6667 87.2427 10969.1764 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1946 0.3685 -0.0379 0.6667 0.9664 376061.6667 87.0781 12273.1963 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0821 0.1532 -0.0326 0.0000 0.9767 376141.3333 88.3142 7573.3786 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0957 0.1754 -0.0514 0.2222 0.9654 376054.0000 87.2648 8254.4621 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1221 0.2343 -0.1186 0.6667 0.9875 376224.3333 90.1028 11165.1822 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0457 0.0962 -0.0108 0.0000 0.9883 376230.0000 87.2918 4662.4972 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0540 0.1111 -0.0124 0.0000 0.9935 376270.0000 87.1969 4822.6068 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0763 0.1546 -0.0234 0.0000 0.9895 376239.6667 89.5944 7932.4967 37286.0000 36864.0000
