model;encoding;spike_rate;energy;param_count;macs
LSTM-AE;direct;0.0;11,842,560;122472.0;1184256.0
LSTM-AE;latency;0.0;11,842,560;122472.0;1184256.0
LSTM-AE;poisson;0.0;11,842,560;122472.0;1184256.0
SNN-conv1d;direct;0.4817276296296296;\textbf{372,339.67};37286.0;36864.0
SNN-conv1d;latency;0.884866925925926;375,435.78;37286.0;36864.0
SNN-conv1d;poisson;0.9901185925925925;376,244.11;37286.0;36864.0
SNN-dense;direct;0.48356485185185183;372,353.78;37286.0;36864.0
SNN-dense;latency;0.8829233333333334;375,420.85;37286.0;36864.0
SNN-dense;poisson;0.9623360740740742;376,030.74;37286.0;36864.0
SNN-recurrent;direct;0.8766637777777778;375,372.78;37286.0;36864.0
SNN-recurrent;latency;0.8768807037037036;375,374.44;37286.0;36864.0
SNN-recurrent;poisson;0.970573037037037;376,094;37286.0;36864.0
