model;encoding;mse;mae;r2;f1
LSTM-AE;direct;0.9484;0.7044;0.0516;0.0
LSTM-AE;latency;0.1019;0.2118;0.5872;0.0
LSTM-AE;poisson;0.1118;0.2234;0.018;0.0
SNN-conv1d;direct;0.7219;0.6268;-0.0001;0.6666669999999999
SNN-conv1d;latency;0.0842;0.2034;\textbf{0.6143};0.380247037037037
SNN-conv1d;poisson;\textbf{0.0646};\textbf{0.1836};-0.0453;0.47530885185185184
SNN-dense;direct;0.9906;0.7482;0.0094;0.6666669999999999
SNN-dense;latency;0.113;0.2331;0.5419;0.6444445185185186
SNN-dense;poisson;0.1232;0.2281;-0.0818;0.6382718888888889
SNN-recurrent;direct;0.1149;0.23;0.0163;0.469136
SNN-recurrent;latency;0.1108;0.2293;0.4899;0.549382888888889
SNN-recurrent;poisson;0.1106;0.2102;-0.0566;0.2654321851851852
