# model=snn-ae encoding=direct architecture=conv1d v_th=0.5 alpha=0.8 run=3
epoch train_loss val_loss
1 0.927258 0.805225
2 0.881735 0.783032
3 0.862077 0.764334
4 0.852182 0.754057
5 0.848772 0.756799
6 0.838203 0.752811
7 0.833845 0.739814
8 0.825863 0.727242
9 0.817157 0.734932
10 0.807414 0.733736
11 0.808081 0.732348
12 0.789281 0.726845
13 0.784835 0.716768
14 0.780021 0.701386
15 0.777259 0.695509
16 0.790549 0.709936
17 0.780884 0.698405
18 0.767511 0.692755
19 0.775112 0.689671
20 0.768718 0.715492
21 0.761409 0.705585
22 0.763268 0.690900
23 0.768517 0.714034
24 0.757177 0.698790
