# model=snn-ae encoding=direct architecture=conv1d v_th=1 alpha=0.99 run=1
epoch train_loss val_loss
1 0.897680 0.746843
2 0.839381 0.726855
3 0.836479 0.737264
4 0.827527 0.724793
5 0.831451 0.731132
6 0.825194 0.724270
7 0.817754 0.721007
8 0.812483 0.717352
9 0.811196 0.724185
10 0.812442 0.713444
11 0.807106 0.711816
12 0.799309 0.720274
13 0.796048 0.715956
14 0.795178 0.719271
15 0.796521 0.709996
16 0.806557 0.702517
17 0.801458 0.710827
18 0.805816 0.714625
19 0.795109 0.721540
20 0.804986 0.702542
21 0.798438 0.718364
