# model=snn-ae encoding=latency architecture=conv1d v_th=1.5 alpha=0.99 run=2
epoch train_loss val_loss
1 0.493787 0.279603
2 0.211104 0.151651
3 0.142579 0.107988
4 0.118765 0.086116
5 0.109152 0.093433
6 0.107354 0.084861
7 0.101652 0.081065
8 0.103989 0.080669
9 0.097889 0.085274
10 0.101073 0.083405
11 0.105339 0.077553
12 0.098294 0.078976
13 0.102221 0.076002
14 0.102571 0.076824
15 0.103423 0.077642
16 0.100714 0.074417
17 0.102384 0.097225
18 0.097010 0.077707
19 0.098477 0.088203
20 0.097967 0.077445
21 0.096679 0.081410
