# model=snn-ae encoding=poisson architecture=conv1d v_th=0.5 alpha=0.99 run=1
epoch train_loss val_loss
1 0.179249 0.095325
2 0.132868 0.094454
3 0.137863 0.088514
4 0.117801 0.092892
5 0.110751 0.084835
6 0.101881 0.093561
7 0.099897 0.075889
8 0.094726 0.073036
9 0.093440 0.075491
10 0.089620 0.079504
11 0.086222 0.070671
12 0.085952 0.079179
13 0.083798 0.073067
14 0.088689 0.063683
15 0.087563 0.063617
16 0.084322 0.076475
17 0.087469 0.064187
18 0.097345 0.067117
19 0.088656 0.066245
20 0.086487 0.072188
