# model=snn-ae encoding=poisson architecture=conv1d v_th=1 alpha=0.9 run=3
epoch train_loss val_loss
1 0.151676 0.103424
2 0.128399 0.093574
3 0.122384 0.088822
4 0.110783 0.099669
5 0.106627 0.096061
6 0.110060 0.101015
7 0.102270 0.082811
8 0.094481 0.080831
9 0.091481 0.081789
10 0.092529 0.077242
11 0.090807 0.077351
12 0.087309 0.079284
13 0.088930 0.083519
14 0.089026 0.071243
15 0.087686 0.065019
16 0.087857 0.070473
17 0.084721 0.068656
18 0.083282 0.082922
19 0.082070 0.069445
20 0.079657 0.080492
