# Batch convergence for: model=snn-ae encoding=poisson architecture=conv1d v_th=1 alpha=0.99 run=2
batch_num epoch batch_loss
0 1 0.082520
1 1 0.165029
2 1 0.267177
3 1 0.075083
4 1 0.945615
5 1 0.431471
6 1 0.507142
7 1 0.084397
8 1 0.097887
9 1 0.251501
10 1 0.231783
11 1 0.371510
12 1 0.247468
13 1 0.362995
14 1 0.078513
15 1 0.173640
16 1 0.200134
17 1 0.270745
18 1 0.224668
19 1 0.290794
20 1 0.097432
21 1 0.057862
22 1 0.116179
23 1 0.252101
24 1 0.052771
25 1 0.189840
26 1 0.238912
27 1 0.210603
28 1 0.066463
29 1 0.185530
30 1 0.158984
31 1 0.082073
32 1 0.248226
33 1 0.101081
34 1 0.086898
35 1 0.068075
36 1 0.106574
37 1 0.146549
38 1 0.081733
39 1 0.057507
40 1 0.085628
41 1 0.211546
42 1 0.049057
43 1 0.150797
44 1 0.147242
45 1 0.078969
46 1 0.080889
47 1 0.145831
48 1 0.156131
49 1 0.281040
50 1 0.018221
51 1 0.236050
52 1 0.102477
53 1 0.016152
54 1 0.998140
55 1 0.183456
56 1 0.154118
57 1 0.166045
58 1 0.033362
59 1 0.128797
60 1 0.095741
61 1 0.150268
62 1 0.215677
63 1 0.133033
64 1 0.164264
65 1 0.036931
66 1 0.010466
67 1 0.613531
68 1 0.073784
69 1 0.070858
70 1 0.100209
71 1 0.072133
72 1 0.018485
73 1 0.140388
74 1 0.089222
75 1 0.108893
76 1 0.198715
77 1 0.130463
78 1 0.100961
79 1 0.197495
80 1 0.829011
81 1 0.080950
82 1 0.062960
83 1 0.095190
84 1 0.209690
85 1 0.221141
86 1 0.046927
87 1 0.196913
88 1 0.256528
89 1 0.125575
90 1 0.088730
91 1 0.210006
92 1 0.086578
93 1 0.081525
94 1 0.148140
95 1 0.118987
96 1 0.071026
97 1 0.236136
98 1 0.077103
99 1 0.109553
100 2 0.112367
101 2 0.060065
102 2 0.199891
103 2 0.076738
104 2 0.138194
105 2 0.186269
106 2 0.093394
107 2 0.091209
108 2 0.186686
109 2 0.117406
110 2 0.108766
111 2 0.017866
112 2 0.163843
113 2 0.826129
114 2 0.073946
115 2 0.178587
116 2 0.098076
117 2 0.096590
118 2 0.032818
119 2 0.137676
120 2 0.069216
121 2 0.026234
122 2 0.015018
123 2 0.071380
124 2 0.031764
125 2 0.145827
126 2 0.160377
127 2 0.161583
128 2 0.146195
129 2 0.091708
130 2 0.102064
131 2 0.120483
132 2 0.158856
133 2 0.098759
134 2 0.258231
135 2 0.100617
136 2 0.098334
137 2 0.048336
138 2 0.167523
139 2 0.214818
140 2 0.030641
141 2 0.192641
142 2 0.216339
143 2 0.081905
144 2 0.074674
145 2 0.078937
146 2 0.204448
147 2 0.136348
148 2 0.098502
149 2 0.093689
150 2 0.018730
151 2 0.101625
152 2 0.078518
153 2 0.047668
154 2 0.113191
155 2 0.010946
156 2 0.536286
157 2 0.048496
158 2 0.112755
159 2 0.099396
160 2 0.083304
161 2 0.094485
162 2 0.057589
163 2 0.208070
164 2 0.043152
165 2 0.066860
166 2 0.043920
167 2 0.062714
168 2 0.224914
169 2 0.149099
170 2 0.058963
171 2 0.482680
172 2 0.123111
173 2 0.082196
174 2 0.063970
175 2 0.165693
176 2 0.127801
177 2 0.015988
178 2 0.101513
179 2 0.105096
180 2 0.224302
181 2 0.108680
182 2 0.075693
183 2 0.265907
184 2 0.224152
185 2 0.020728
186 2 0.143045
187 2 0.075115
188 2 0.270875
189 2 0.112796
190 2 0.141323
191 2 0.091517
192 2 0.077511
193 2 0.171958
194 2 0.662360
195 2 0.100837
196 2 0.164060
197 2 0.104290
198 2 0.061301
199 2 0.063485
200 3 0.176287
201 3 0.145666
202 3 0.050652
203 3 0.131296
204 3 0.044718
205 3 0.178854
206 3 0.114022
207 3 0.015766
208 3 0.706608
209 3 0.042411
210 3 0.131004
211 3 0.075212
212 3 0.139138
213 3 0.138633
214 3 0.229907
215 3 0.029003
216 3 0.183176
217 3 0.108341
218 3 0.667783
219 3 0.019245
220 3 0.111759
221 3 0.054076
222 3 0.026418
223 3 0.143756
224 3 0.196024
225 3 0.082410
226 3 0.105319
227 3 0.162367
228 3 0.085502
229 3 0.019311
230 3 0.226214
231 3 0.018891
232 3 0.068794
233 3 0.109586
234 3 0.095170
235 3 0.125881
236 3 0.123303
237 3 0.199861
238 3 0.092776
239 3 0.208677
240 3 0.169675
241 3 0.132452
242 3 0.129914
243 3 0.134103
244 3 0.110479
245 3 0.092743
246 3 0.109060
247 3 0.142477
248 3 0.105185
249 3 0.075484
250 3 0.140961
251 3 0.168308
252 3 0.414780
253 3 0.088061
254 3 0.099733
255 3 0.063622
256 3 0.083837
257 3 0.084932
258 3 0.116990
259 3 0.044234
260 3 0.140977
261 3 0.117877
262 3 0.161311
263 3 0.074581
264 3 0.151562
265 3 0.225371
266 3 0.118320
267 3 0.070248
268 3 0.123459
269 3 0.134475
270 3 0.106005
271 3 0.099060
272 3 0.070475
273 3 0.231946
274 3 0.046105
275 3 0.075172
276 3 0.021486
277 3 0.042195
278 3 0.131816
279 3 0.089204
280 3 0.101526
281 3 0.113950
282 3 0.142127
283 3 0.044694
284 3 0.422684
285 3 0.098201
286 3 0.190274
287 3 0.111636
288 3 0.076609
289 3 0.072272
290 3 0.090460
291 3 0.154226
292 3 0.169818
293 3 0.086367
294 3 0.129739
295 3 0.065522
296 3 0.079914
297 3 0.188631
298 3 0.095146
299 3 0.210104
300 4 0.170722
301 4 0.121256
302 4 0.123271
303 4 0.077836
304 4 0.052585
305 4 0.182884
306 4 0.108882
307 4 0.120628
308 4 0.143999
309 4 0.150766
310 4 0.079340
311 4 0.135512
312 4 0.083237
313 4 0.065731
314 4 0.118687
315 4 0.050937
316 4 0.016925
317 4 0.045886
318 4 0.085235
319 4 0.094402
320 4 0.139712
321 4 0.034410
322 4 0.123578
323 4 0.234044
324 4 0.090226
325 4 0.136027
326 4 0.058246
327 4 0.120954
328 4 0.042026
329 4 0.044567
330 4 0.075462
331 4 0.079231
332 4 0.131202
333 4 0.113204
334 4 0.087168
335 4 0.054527
336 4 0.029113
337 4 0.116895
338 4 0.060855
339 4 0.075658
340 4 0.095927
341 4 0.099709
342 4 0.130923
343 4 0.012956
344 4 0.397214
345 4 0.192106
346 4 0.087847
347 4 0.393416
348 4 0.041947
349 4 0.064136
350 4 0.150190
351 4 0.068330
352 4 0.133148
353 4 0.116530
354 4 0.074611
355 4 0.052232
356 4 0.076505
357 4 0.187323
358 4 0.110943
359 4 0.021898
360 4 0.044063
361 4 0.129627
362 4 0.078910
363 4 0.181071
364 4 0.102519
365 4 0.130325
366 4 0.110285
367 4 0.127600
368 4 0.027402
369 4 0.112115
370 4 0.060530
371 4 0.019782
372 4 0.102129
373 4 0.129476
374 4 0.108494
375 4 0.080004
376 4 0.121394
377 4 0.062114
378 4 0.095851
379 4 0.093947
380 4 0.115021
381 4 0.108010
382 4 0.170357
383 4 0.554062
384 4 0.139290
385 4 0.086831
386 4 0.157554
387 4 0.171953
388 4 0.108760
389 4 0.108007
390 4 0.071542
391 4 0.128907
392 4 0.072794
393 4 0.156921
394 4 0.090664
395 4 0.426951
396 4 0.060682
397 4 0.165013
398 4 0.168946
399 4 0.029035
400 5 0.123868
401 5 0.157974
402 5 0.057749
403 5 0.072082
404 5 0.199506
405 5 0.051685
406 5 0.105375
407 5 0.307651
408 5 0.043104
409 5 0.139274
410 5 0.198236
411 5 0.416681
412 5 0.029001
413 5 0.022215
414 5 0.070109
415 5 0.177890
416 5 0.020054
417 5 0.084435
418 5 0.110233
419 5 0.093463
420 5 0.157644
421 5 0.017781
422 5 0.060066
423 5 0.046153
424 5 0.132437
425 5 0.090066
426 5 0.063033
427 5 0.087000
428 5 0.140136
429 5 0.030981
430 5 0.226093
431 5 0.232932
432 5 0.095929
433 5 0.140834
434 5 0.060701
435 5 0.141755
436 5 0.064459
437 5 0.099751
438 5 0.013609
439 5 0.057089
440 5 0.126457
441 5 0.061596
442 5 0.125437
443 5 0.087999
444 5 0.072683
445 5 0.115813
446 5 0.095315
447 5 0.118019
448 5 0.126765
449 5 0.110727
450 5 0.119454
451 5 0.182398
452 5 0.135530
453 5 0.020226
454 5 0.076301
455 5 0.076233
456 5 0.093782
457 5 0.085378
458 5 0.177484
459 5 0.111495
460 5 0.107030
461 5 0.089312
462 5 0.235318
463 5 0.115969
464 5 0.180515
465 5 0.094357
466 5 0.089191
467 5 0.038541
468 5 0.107799
469 5 0.075994
470 5 0.144871
471 5 0.084245
472 5 0.017884
473 5 0.141904
474 5 0.051555
475 5 0.305460
476 5 0.086142
477 5 0.097574
478 5 0.079640
479 5 0.083236
480 5 0.125658
481 5 0.402007
482 5 0.064331
483 5 0.096102
484 5 0.019958
485 5 0.067826
486 5 0.190155
487 5 0.183917
488 5 0.149146
489 5 0.093542
490 5 0.100587
491 5 0.108449
492 5 0.244043
493 5 0.082701
494 5 0.133901
495 5 0.187576
496 5 0.127996
497 5 0.115702
498 5 0.044120
499 5 0.027726
500 6 0.051479
