# Batch convergence for: model=snn-ae encoding=poisson architecture=conv1d v_th=1.5 alpha=0.9 run=2
batch_num epoch batch_loss
0 1 0.082520
1 1 0.140840
2 1 0.206487
3 1 0.160896
4 1 0.866460
5 1 0.106551
6 1 0.202774
7 1 0.054704
8 1 0.036417
9 1 0.306538
10 1 0.051224
11 1 0.218228
12 1 0.268603
13 1 0.178789
14 1 0.107216
15 1 0.084413
16 1 0.221521
17 1 0.267389
18 1 0.124682
19 1 0.241672
20 1 0.113997
21 1 0.021060
22 1 0.077642
23 1 0.200433
24 1 0.052363
25 1 0.254242
26 1 0.111948
27 1 0.160399
28 1 0.065897
29 1 0.207503
30 1 0.267131
31 1 0.143006
32 1 0.196495
33 1 0.070832
34 1 0.117122
35 1 0.067367
36 1 0.225082
37 1 0.224772
38 1 0.027500
39 1 0.056978
40 1 0.069105
41 1 0.084487
42 1 0.048701
43 1 0.068424
44 1 0.071012
45 1 0.046275
46 1 0.142430
47 1 0.085357
48 1 0.151412
49 1 0.225145
50 1 0.017771
51 1 0.263915
52 1 0.148231
53 1 0.015675
54 1 0.999351
55 1 0.213778
56 1 0.151936
57 1 0.147267
58 1 0.032934
59 1 0.127474
60 1 0.099928
61 1 0.133820
62 1 0.175093
63 1 0.159095
64 1 0.141339
65 1 0.069859
66 1 0.010254
67 1 0.677574
68 1 0.073112
69 1 0.044164
70 1 0.099428
71 1 0.014701
72 1 0.018173
73 1 0.121002
74 1 0.131702
75 1 0.168896
76 1 0.161759
77 1 0.150278
78 1 0.074634
79 1 0.185711
80 1 1.025125
81 1 0.079422
82 1 0.119163
83 1 0.146517
84 1 0.209062
85 1 0.230438
86 1 0.045518
87 1 0.190779
88 1 0.174885
89 1 0.127792
90 1 0.032856
91 1 0.202885
92 1 0.018527
93 1 0.131104
94 1 0.049749
95 1 0.147809
96 1 0.045895
97 1 0.127537
98 1 0.153563
99 1 0.133027
100 2 0.103955
101 2 0.091011
102 2 0.096407
103 2 0.280414
104 2 0.131703
105 2 0.130018
106 2 0.108395
107 2 0.069758
108 2 0.106450
109 2 0.177154
110 2 0.106292
111 2 0.017595
112 2 0.140693
113 2 0.841374
114 2 0.072212
115 2 0.124358
116 2 0.072533
117 2 0.133487
118 2 0.032278
119 2 0.147915
120 2 0.101882
121 2 0.025802
122 2 0.014838
123 2 0.100943
124 2 0.031087
125 2 0.147843
126 2 0.189102
127 2 0.101204
128 2 0.198838
129 2 0.105770
130 2 0.106881
131 2 0.146094
132 2 0.189958
133 2 0.080633
134 2 0.133510
135 2 0.098269
136 2 0.042747
137 2 0.088140
138 2 0.165472
139 2 0.201570
140 2 0.029887
141 2 0.172485
142 2 0.282552
143 2 0.123348
144 2 0.106192
145 2 0.076683
146 2 0.169367
147 2 0.057484
148 2 0.091611
149 2 0.092212
150 2 0.018624
151 2 0.075967
152 2 0.102020
153 2 0.080001
154 2 0.104198
155 2 0.011037
156 2 0.548983
157 2 0.046988
158 2 0.088406
159 2 0.099688
160 2 0.103957
161 2 0.091956
162 2 0.183079
163 2 0.156133
164 2 0.065233
165 2 0.214236
166 2 0.018666
167 2 0.061755
168 2 0.171164
169 2 0.116201
170 2 0.033671
171 2 0.527657
172 2 0.195440
173 2 0.135596
174 2 0.062889
175 2 0.137738
176 2 0.099091
177 2 0.015795
178 2 0.164899
179 2 0.075503
180 2 0.235238
181 2 0.091225
182 2 0.047785
183 2 0.208806
184 2 0.186518
185 2 0.020684
186 2 0.174755
187 2 0.061711
188 2 0.121999
189 2 0.146010
190 2 0.158830
191 2 0.130141
192 2 0.095337
193 2 0.194057
194 2 0.763649
195 2 0.170364
196 2 0.107632
197 2 0.043060
198 2 0.039999
199 2 0.088958
200 3 0.162532
201 3 0.135524
202 3 0.096083
203 3 0.092046
204 3 0.011908
205 3 0.118947
206 3 0.116525
207 3 0.015794
208 3 0.643965
209 3 0.060267
210 3 0.108706
211 3 0.033354
212 3 0.093919
213 3 0.198438
214 3 0.144196
215 3 0.028605
216 3 0.171028
217 3 0.072709
218 3 0.660721
219 3 0.019472
220 3 0.124704
221 3 0.082695
222 3 0.026227
223 3 0.139018
224 3 0.197286
225 3 0.076838
226 3 0.069096
227 3 0.269233
228 3 0.084450
229 3 0.019474
230 3 0.087965
231 3 0.018969
232 3 0.108272
233 3 0.119095
234 3 0.173792
235 3 0.098547
236 3 0.089201
237 3 0.228130
238 3 0.144273
239 3 0.182280
240 3 0.149970
241 3 0.148669
242 3 0.072439
243 3 0.106409
244 3 0.172741
245 3 0.085975
246 3 0.060031
