# model=snn-ae encoding=direct architecture=dense v_th=0.5 alpha=0.8 run=1
epoch train_loss val_loss
1 1.120363 1.087541
2 1.046475 1.080376
3 1.032824 1.062632
4 1.032609 1.049060
5 1.025114 1.051111
6 1.011297 1.040722
7 1.011724 1.022887
8 1.000291 1.021673
9 0.994945 1.018959
10 0.978334 1.038970
11 0.969410 1.022277
12 0.970293 1.002496
13 0.959061 1.003224
14 0.957023 0.983557
15 0.940665 0.992726
16 0.956553 1.007612
17 0.948579 1.010062
18 0.946893 0.977293
19 0.941021 0.974506
20 0.929551 0.995104
21 0.931738 0.991452
22 0.919285 0.992707
23 0.926226 0.981494
24 0.920661 0.986150
