# model=snn-ae encoding=direct architecture=dense v_th=1 alpha=0.9 run=3
epoch train_loss val_loss
1 1.121008 1.063800
2 1.053703 1.060722
3 1.043324 1.055059
4 1.032238 1.035369
5 1.016137 1.029626
6 1.015581 1.015582
7 1.001039 1.011900
8 0.991566 1.014740
9 0.987675 1.038359
10 0.985309 1.001192
11 0.973213 0.994822
12 0.951890 0.975853
13 0.955282 0.967718
14 0.940296 0.970756
15 0.941654 0.968202
16 0.935655 0.968324
17 0.940975 0.995047
18 0.919931 0.964844
19 0.924299 0.990634
20 0.925604 0.989310
21 0.916280 0.987090
22 0.925151 0.978369
23 0.919226 0.977018
