# model=snn-ae encoding=latency architecture=dense v_th=0.5 alpha=0.9 run=2
epoch train_loss val_loss
1 0.481269 0.269365
2 0.230482 0.171739
3 0.173977 0.141030
4 0.156750 0.133060
5 0.141012 0.126510
6 0.134054 0.120912
7 0.130105 0.124334
8 0.132215 0.119735
9 0.128203 0.121198
10 0.130428 0.126428
11 0.131923 0.121936
12 0.126590 0.128757
13 0.128260 0.108111
14 0.128202 0.110507
15 0.132933 0.104792
16 0.123568 0.113482
17 0.128206 0.107810
18 0.125581 0.117878
19 0.123851 0.123486
20 0.123788 0.118798
