# model=snn-ae encoding=latency architecture=dense v_th=1 alpha=0.8 run=2
epoch train_loss val_loss
1 0.448739 0.245067
2 0.218433 0.178183
3 0.178516 0.141709
4 0.156059 0.133562
5 0.151439 0.118230
6 0.139078 0.115588
7 0.134520 0.131864
8 0.138123 0.109362
9 0.130727 0.111992
10 0.129482 0.108030
11 0.131563 0.108387
12 0.127694 0.123420
13 0.127365 0.105795
14 0.125352 0.113575
15 0.125086 0.110658
16 0.121617 0.112158
17 0.123965 0.107809
18 0.121499 0.103828
19 0.115854 0.108406
20 0.117409 0.105072
21 0.114219 0.111015
22 0.114502 0.105669
23 0.113647 0.107243
