# Batch convergence for: model=snn-ae encoding=latency architecture=dense v_th=1 alpha=0.99 run=2
batch_num epoch batch_loss
0 1 0.713512
1 1 1.044065
2 1 0.697402
3 1 0.850483
4 1 1.024626
5 1 0.865932
6 1 0.679416
7 1 0.888332
8 1 0.722871
9 1 0.886699
10 1 0.820142
11 1 0.726453
12 1 0.671208
13 1 0.733432
14 1 0.658849
15 1 0.658975
16 1 0.638607
17 1 0.754930
18 1 0.615849
19 1 0.638927
20 1 0.652942
21 1 0.075650
22 1 0.639199
23 1 0.602917
24 1 0.424253
25 1 0.627936
26 1 0.468423
27 1 0.640691
28 1 0.567232
29 1 0.654429
30 1 0.518982
31 1 0.537322
32 1 0.604908
33 1 0.579675
34 1 0.603666
35 1 0.567530
36 1 0.649195
37 1 0.556531
38 1 0.584320
39 1 0.505685
40 1 0.538374
41 1 0.527815
42 1 0.547977
43 1 0.467016
44 1 0.554011
45 1 0.435428
46 1 0.551484
47 1 0.526392
48 1 0.508066
49 1 0.551892
50 1 0.112233
51 1 0.555593
52 1 0.480554
53 1 0.189812
54 1 0.738841
55 1 0.547791
56 1 0.480484
57 1 0.553839
58 1 0.432437
59 1 0.460037
60 1 0.411393
61 1 0.614044
62 1 0.604793
63 1 0.493190
64 1 0.547141
65 1 0.452846
66 1 0.062390
67 1 0.525080
68 1 0.425687
69 1 0.390529
70 1 0.448530
71 1 0.389545
72 1 0.118132
73 1 0.387363
74 1 0.360199
75 1 0.436554
76 1 0.426287
77 1 0.360599
78 1 0.384300
79 1 0.347483
80 1 0.606865
81 1 0.287887
82 1 0.347977
83 1 0.357861
84 1 0.349105
85 1 0.420992
86 1 0.325833
87 1 0.494959
88 1 0.406986
89 1 0.401162
90 1 0.354924
91 1 0.347172
92 1 0.403876
93 1 0.323197
94 1 0.260201
95 1 0.369344
96 1 0.323727
97 1 0.322811
98 1 0.279471
99 1 0.366607
100 2 0.344909
101 2 0.246014
102 2 0.282854
103 2 0.322714
104 2 0.262236
105 2 0.436752
106 2 0.401611
107 2 0.224115
108 2 0.228358
109 2 0.288791
110 2 0.282254
111 2 0.169694
112 2 0.291071
113 2 0.421404
114 2 0.312079
115 2 0.311520
116 2 0.234477
117 2 0.179938
118 2 0.295916
119 2 0.280628
120 2 0.203910
121 2 0.185160
122 2 0.188356
123 2 0.239365
124 2 0.238199
125 2 0.290949
126 2 0.321992
127 2 0.221192
128 2 0.218210
129 2 0.246453
130 2 0.240978
131 2 0.249318
132 2 0.332526
133 2 0.241232
134 2 0.318190
135 2 0.178553
136 2 0.203834
137 2 0.274248
138 2 0.274089
139 2 0.252517
140 2 0.222913
141 2 0.234991
142 2 0.307311
143 2 0.234498
144 2 0.200730
145 2 0.186982
146 2 0.243674
147 2 0.269381
148 2 0.169020
149 2 0.197089
150 2 0.286601
151 2 0.178832
152 2 0.215404
153 2 0.228178
154 2 0.206325
155 2 0.029684
156 2 0.233210
157 2 0.172010
158 2 0.186025
159 2 0.251962
160 2 0.186575
161 2 0.245200
162 2 0.180854
163 2 0.228644
164 2 0.257083
165 2 0.240234
166 2 0.250109
167 2 0.259784
168 2 0.219596
169 2 0.212467
170 2 0.203427
171 2 0.160878
172 2 0.221264
173 2 0.248340
174 2 0.138063
175 2 0.303614
176 2 0.173768
177 2 0.169894
178 2 0.171700
179 2 0.180922
180 2 0.192482
181 2 0.161158
182 2 0.168751
183 2 0.246841
184 2 0.247131
185 2 0.086552
186 2 0.211655
187 2 0.218716
188 2 0.190051
189 2 0.233527
190 2 0.172203
191 2 0.323390
192 2 0.181664
193 2 0.249988
194 2 0.334322
195 2 0.211253
196 2 0.161079
197 2 0.102814
198 2 0.280224
199 2 0.209991
200 3 0.187773
201 3 0.179457
202 3 0.164655
203 3 0.193930
204 3 0.029485
205 3 0.221363
206 3 0.188871
207 3 0.186027
208 3 0.297583
209 3 0.244867
210 3 0.167599
211 3 0.226660
212 3 0.189081
213 3 0.217654
214 3 0.173720
215 3 0.286210
216 3 0.171302
217 3 0.201413
218 3 0.312423
219 3 0.033222
220 3 0.142534
221 3 0.167477
222 3 0.121760
223 3 0.197725
224 3 0.205998
225 3 0.280746
226 3 0.187128
227 3 0.193033
228 3 0.186727
229 3 0.259896
230 3 0.135669
231 3 0.106157
232 3 0.140094
233 3 0.230862
234 3 0.217544
235 3 0.255571
236 3 0.147425
237 3 0.209878
238 3 0.118294
239 3 0.297538
240 3 0.133433
241 3 0.267858
242 3 0.129308
243 3 0.143531
244 3 0.185908
245 3 0.133548
246 3 0.147578
247 3 0.146338
248 3 0.162484
249 3 0.162958
250 3 0.160567
251 3 0.188005
252 3 0.132155
253 3 0.212696
254 3 0.151462
255 3 0.108457
256 3 0.221847
257 3 0.129963
258 3 0.155669
259 3 0.131968
260 3 0.288016
261 3 0.160617
262 3 0.166401
263 3 0.122525
264 3 0.131517
265 3 0.167795
266 3 0.090907
267 3 0.180312
268 3 0.144092
269 3 0.237737
270 3 0.179156
271 3 0.225923
272 3 0.196187
273 3 0.200250
274 3 0.242229
275 3 0.168769
276 3 0.148147
277 3 0.213072
278 3 0.192052
279 3 0.139922
280 3 0.117524
281 3 0.114265
282 3 0.101297
283 3 0.091614
284 3 0.190881
285 3 0.109673
286 3 0.238154
287 3 0.131098
288 3 0.089139
289 3 0.122665
290 3 0.126038
291 3 0.151896
292 3 0.218621
293 3 0.149889
294 3 0.116660
295 3 0.250677
296 3 0.170693
297 3 0.205703
298 3 0.156277
299 3 0.190083
300 4 0.153838
301 4 0.167227
302 4 0.116567
303 4 0.168163
304 4 0.119926
305 4 0.146370
306 4 0.181315
307 4 0.180716
308 4 0.160574
309 4 0.158382
310 4 0.190423
311 4 0.126317
312 4 0.120939
313 4 0.088765
314 4 0.110059
315 4 0.211681
316 4 0.123478
317 4 0.264206
318 4 0.128390
319 4 0.178242
320 4 0.179008
321 4 0.141128
322 4 0.179382
323 4 0.175528
324 4 0.212593
325 4 0.147015
326 4 0.149574
327 4 0.141701
328 4 0.129530
329 4 0.096288
330 4 0.151742
331 4 0.143303
332 4 0.224543
333 4 0.233218
334 4 0.120526
335 4 0.092368
336 4 0.099938
337 4 0.119958
338 4 0.095626
339 4 0.116801
340 4 0.172475
341 4 0.128038
342 4 0.143856
343 4 0.029013
344 4 0.206231
345 4 0.199977
346 4 0.135296
347 4 0.117585
348 4 0.117616
349 4 0.140210
350 4 0.182077
351 4 0.214162
352 4 0.126331
353 4 0.177809
354 4 0.132963
355 4 0.102484
356 4 0.133103
357 4 0.164088
358 4 0.193105
359 4 0.106289
360 4 0.032594
361 4 0.163578
362 4 0.105099
363 4 0.260856
364 4 0.112027
365 4 0.170416
366 4 0.127442
367 4 0.126423
368 4 0.133055
369 4 0.129497
370 4 0.256026
371 4 0.238911
372 4 0.139316
373 4 0.141436
374 4 0.244042
375 4 0.125739
376 4 0.129796
377 4 0.160920
378 4 0.182689
379 4 0.116532
380 4 0.143242
381 4 0.100211
382 4 0.174829
383 4 0.331600
384 4 0.164802
385 4 0.156886
386 4 0.156393
387 4 0.241928
388 4 0.114354
389 4 0.126186
390 4 0.159941
391 4 0.137373
392 4 0.115503
393 4 0.131703
394 4 0.110294
395 4 0.279902
396 4 0.097669
397 4 0.263246
398 4 0.142332
399 4 0.128015
400 5 0.138887
401 5 0.114586
402 5 0.092582
403 5 0.123186
404 5 0.110856
405 5 0.140935
406 5 0.168873
407 5 0.165029
408 5 0.094602
409 5 0.172631
410 5 0.164572
411 5 0.279985
412 5 0.176101
413 5 0.100664
414 5 0.111946
415 5 0.122938
416 5 0.104257
417 5 0.144799
418 5 0.195104
419 5 0.216425
420 5 0.120232
421 5 0.128005
422 5 0.101085
423 5 0.070493
424 5 0.130284
425 5 0.111493
426 5 0.106482
427 5 0.181175
428 5 0.113013
429 5 0.247625
430 5 0.119101
431 5 0.182676
432 5 0.116218
433 5 0.085741
434 5 0.244589
435 5 0.086476
436 5 0.074808
437 5 0.113363
438 5 0.028403
439 5 0.197193
440 5 0.156421
441 5 0.096727
442 5 0.122282
443 5 0.108487
444 5 0.113416
445 5 0.053480
446 5 0.119145
447 5 0.171145
448 5 0.199489
449 5 0.133324
450 5 0.203069
451 5 0.173143
452 5 0.126109
453 5 0.031966
454 5 0.141885
455 5 0.097548
456 5 0.167030
457 5 0.157976
458 5 0.149371
459 5 0.139714
460 5 0.155538
461 5 0.168978
462 5 0.145504
463 5 0.190315
464 5 0.148377
465 5 0.158671
466 5 0.227800
467 5 0.223182
468 5 0.134890
469 5 0.135398
470 5 0.144641
471 5 0.103333
472 5 0.123275
473 5 0.219486
474 5 0.085265
475 5 0.132476
476 5 0.114604
477 5 0.151675
478 5 0.177234
479 5 0.079140
480 5 0.177845
481 5 0.291182
482 5 0.151096
483 5 0.104141
484 5 0.226408
485 5 0.112050
486 5 0.148662
487 5 0.186892
488 5 0.098389
489 5 0.124875
490 5 0.150274
491 5 0.193939
492 5 0.177307
493 5 0.140427
494 5 0.152688
495 5 0.096516
496 5 0.123851
497 5 0.132008
498 5 0.124750
499 5 0.083981
500 6 0.209860
501 6 0.145489
502 6 0.160130
503 6 0.138464
504 6 0.164879
505 6 0.106650
506 6 0.028086
507 6 0.125433
508 6 0.106906
509 6 0.148158
510 6 0.097252
511 6 0.129024
512 6 0.098557
513 6 0.088248
514 6 0.146280
515 6 0.151430
516 6 0.076663
517 6 0.150341
518 6 0.084659
519 6 0.103828
520 6 0.222499
521 6 0.113880
522 6 0.122828
523 6 0.210249
524 6 0.123891
525 6 0.171880
526 6 0.108433
527 6 0.125523
528 6 0.064410
529 6 0.105716
530 6 0.167332
531 6 0.097134
532 6 0.164564
533 6 0.146332
534 6 0.121115
535 6 0.126387
536 6 0.121765
537 6 0.186327
538 6 0.113174
539 6 0.106418
540 6 0.136791
541 6 0.103934
542 6 0.086141
543 6 0.115544
544 6 0.095199
545 6 0.151309
546 6 0.266709
547 6 0.100983
548 6 0.104658
549 6 0.126679
550 6 0.135491
551 6 0.229020
552 6 0.081117
553 6 0.228447
554 6 0.152585
555 6 0.110399
556 6 0.095942
557 6 0.141358
558 6 0.150483
559 6 0.031458
560 6 0.137416
561 6 0.129581
562 6 0.052075
563 6 0.150828
564 6 0.213890
565 6 0.081113
566 6 0.120487
567 6 0.176191
568 6 0.262696
569 6 0.102883
570 6 0.113094
571 6 0.167464
572 6 0.202269
573 6 0.100812
574 6 0.192659
575 6 0.237949
576 6 0.094422
577 6 0.142262
578 6 0.258217
579 6 0.115989
580 6 0.149579
581 6 0.307575
582 6 0.128693
583 6 0.095756
584 6 0.200319
585 6 0.078020
586 6 0.144472
587 6 0.146709
588 6 0.202650
589 6 0.158438
590 6 0.319601
591 6 0.144927
592 6 0.084394
593 6 0.141518
594 6 0.131965
595 6 0.151146
596 6 0.121805
597 6 0.181414
598 6 0.115152
599 6 0.136533
600 7 0.135504
601 7 0.160179
602 7 0.272471
603 7 0.152136
604 7 0.027650
605 7 0.104277
606 7 0.151242
607 7 0.141192
608 7 0.127930
609 7 0.119989
610 7 0.112304
611 7 0.138425
612 7 0.203828
613 7 0.148059
614 7 0.102797
615 7 0.141982
616 7 0.121855
617 7 0.219320
618 7 0.119955
619 7 0.087227
620 7 0.124952
621 7 0.080193
622 7 0.069048
623 7 0.118560
624 7 0.085009
625 7 0.204102
626 7 0.138453
627 7 0.167731
628 7 0.198439
629 7 0.112824
630 7 0.138486
631 7 0.125436
632 7 0.121184
633 7 0.132311
634 7 0.168533
635 7 0.084695
636 7 0.064743
637 7 0.093229
638 7 0.133357
639 7 0.123252
640 7 0.105339
641 7 0.123457
642 7 0.165986
643 7 0.126661
644 7 0.131195
645 7 0.173128
646 7 0.168693
647 7 0.128638
648 7 0.122797
649 7 0.099956
650 7 0.135495
651 7 0.166493
652 7 0.144904
653 7 0.112798
654 7 0.300663
655 7 0.161839
656 7 0.076050
657 7 0.122151
658 7 0.112576
659 7 0.129157
660 7 0.154657
661 7 0.143598
662 7 0.138384
663 7 0.063366
664 7 0.137709
665 7 0.124665
666 7 0.106279
667 7 0.137916
668 7 0.106104
669 7 0.147029
670 7 0.112036
671 7 0.083381
672 7 0.297157
673 7 0.318617
674 7 0.155585
675 7 0.165276
676 7 0.134470
677 7 0.091971
678 7 0.097937
679 7 0.102480
680 7 0.108362
681 7 0.107490
682 7 0.098303
683 7 0.210082
684 7 0.113138
