# model=snn-ae encoding=poisson architecture=dense v_th=0.5 alpha=0.8 run=3
epoch train_loss val_loss
1 0.226884 0.166723
2 0.187700 0.153149
3 0.182402 0.145220
4 0.175515 0.155582
5 0.170276 0.153587
6 0.161620 0.176520
7 0.163706 0.142339
8 0.149553 0.139762
9 0.147190 0.145262
10 0.144187 0.141794
11 0.138040 0.133135
12 0.142778 0.154461
13 0.138951 0.140873
14 0.136412 0.130323
15 0.135783 0.129885
16 0.134490 0.125048
17 0.132471 0.129446
18 0.135195 0.131200
19 0.131846 0.134409
20 0.128668 0.142324
21 0.132732 0.134191
