# model=snn-ae encoding=poisson architecture=dense v_th=1 alpha=0.8 run=1
epoch train_loss val_loss
1 0.244172 0.182467
2 0.208315 0.169698
3 0.188621 0.172727
4 0.182063 0.163095
5 0.168420 0.167855
6 0.161459 0.174792
7 0.159309 0.161340
8 0.153398 0.149922
9 0.150852 0.147276
10 0.145270 0.152410
11 0.144673 0.144904
12 0.140383 0.149231
13 0.142043 0.144222
14 0.141621 0.144167
15 0.140199 0.140136
16 0.141251 0.142892
17 0.137244 0.136470
18 0.134717 0.136386
19 0.133784 0.142210
20 0.133482 0.147068
21 0.133241 0.144389
22 0.132419 0.134861
23 0.130093 0.150975
24 0.128120 0.140379
25 0.131638 0.133440
26 0.125492 0.143691
27 0.126565 0.132453
28 0.123287 0.141642
29 0.122135 0.139326
30 0.121363 0.128222
