model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9484 0.7044 0.0516 0.0000 0.0000 11842560.0000 218.9388 117813.5990 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.1019 0.2118 0.5872 0.0000 0.0000 11842560.0000 286.9614 93015.2135 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.1118 0.2234 0.0180 0.0000 0.0000 11842560.0000 269.8400 106200.0417 122472.0000 1184256.0000
snn-ae direct dense 0.500000 0.800000 0.9420 0.7322 0.0580 0.6667 0.4903 372405.3333 2.1055 3809.2215 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.9824 0.7501 0.0176 0.6667 0.4815 372337.6667 2.7365 4338.8343 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 1.1063 0.7821 -0.1063 0.6667 0.4850 372364.6667 4.0323 3907.9245 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.800000 0.9195 0.7209 0.0805 0.6667 0.4826 372346.6667 4.4193 6543.1302 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.9415 0.7333 0.0585 0.6667 0.4937 372432.0000 5.0361 4071.6993 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 1.1027 0.7866 -0.1027 0.6667 0.4905 372407.3333 2.3566 3889.2100 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.9113 0.7192 0.0887 0.6667 0.4727 372270.3333 2.3359 5287.6608 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.9125 0.7195 0.0875 0.6667 0.4751 372288.6667 5.4112 4614.9500 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 1.0971 0.7896 -0.0971 0.6667 0.4806 372331.3333 5.5327 3567.1670 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.1146 0.2346 0.5356 0.6000 0.8757 375365.3333 4.7063 4060.2051 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.1131 0.2324 0.5416 0.6111 0.8904 375478.0000 3.3336 3442.7920 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.1153 0.2376 0.5326 0.5222 0.8851 375437.3333 2.1859 3090.0140 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.1113 0.2291 0.5489 0.6667 0.8813 375408.0000 4.1211 3791.2192 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.1137 0.2363 0.5393 0.7667 0.8940 375505.6667 3.0433 3141.0427 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.1186 0.2408 0.5193 0.6556 0.8740 375352.6667 3.4613 3750.5527 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.1113 0.2295 0.5490 0.7222 0.8789 375390.0000 3.6298 3626.8450 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.1118 0.2314 0.5467 0.6000 0.8675 375302.6667 4.2969 4131.4143 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.1075 0.2264 0.5642 0.6556 0.8995 375548.0000 6.9385 3291.2392 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.1184 0.2139 -0.0399 0.6667 0.9744 376123.3333 6.4342 3602.1982 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.1192 0.2219 -0.0464 0.6667 0.9895 376239.6667 2.6461 4564.2575 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1380 0.2711 -0.2120 0.6667 0.9978 376303.3333 3.0920 5034.0402 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.1264 0.2337 -0.1102 0.5556 0.8599 375243.6667 3.2736 5645.1156 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.1179 0.2039 -0.0350 0.6667 0.9781 376152.0000 4.0881 1558.6626 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1203 0.2391 -0.0567 0.5778 0.9976 376301.3333 5.0728 4307.7065 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.1217 0.2126 -0.0683 0.6111 0.9155 375670.6667 4.7064 3059.4888 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.1204 0.2102 -0.0574 0.6667 0.9569 375989.0000 3.7363 3036.3060 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1265 0.2466 -0.1108 0.6667 0.9914 376253.6667 5.0171 4446.7948 37286.0000 36864.0000
