# model=snn-ae encoding=direct architecture=recurrent v_th=1 alpha=0.99 run=1
epoch train_loss val_loss
1 0.136786 0.099325
2 0.100054 0.083774
3 0.094752 0.093579
4 0.090380 0.078718
5 0.089184 0.070903
6 0.084803 0.068258
7 0.079483 0.072024
8 0.082346 0.065720
9 0.077913 0.063376
10 0.075169 0.062664
11 0.075886 0.065009
12 0.073733 0.064933
13 0.074532 0.058382
14 0.071272 0.060219
15 0.070690 0.059034
16 0.072317 0.058704
17 0.074059 0.059125
18 0.072146 0.058129
19 0.074363 0.060545
20 0.073361 0.059880
21 0.072531 0.061999
22 0.073957 0.058957
23 0.072011 0.058449
