# model=snn-ae encoding=direct architecture=recurrent v_th=1.5 alpha=0.9 run=1
epoch train_loss val_loss
1 0.158789 0.112736
2 0.133654 0.111134
3 0.128297 0.108937
4 0.124209 0.100994
5 0.118638 0.100785
6 0.118212 0.103680
7 0.117730 0.099718
8 0.117519 0.098660
9 0.112953 0.102175
10 0.120617 0.098030
11 0.111370 0.101089
12 0.115013 0.097214
13 0.116099 0.095318
14 0.110722 0.091167
15 0.107566 0.093614
16 0.106751 0.090769
17 0.107303 0.092529
18 0.107838 0.088635
19 0.100848 0.090735
20 0.101766 0.090902
21 0.100744 0.093932
22 0.101243 0.087617
23 0.099611 0.092359
24 0.099574 0.090032
25 0.095998 0.092326
26 0.095789 0.093300
27 0.095430 0.090642
