# model=snn-ae encoding=latency architecture=recurrent v_th=1 alpha=0.8 run=3
epoch train_loss val_loss
1 0.404811 0.296001
2 0.285493 0.209608
3 0.220702 0.184526
4 0.194557 0.171693
5 0.187603 0.168926
6 0.183131 0.160384
7 0.175824 0.157727
8 0.174111 0.150118
9 0.169032 0.148238
10 0.165331 0.150032
11 0.161082 0.143606
12 0.155534 0.142621
13 0.152003 0.142320
14 0.148512 0.143065
15 0.148387 0.137807
16 0.148089 0.135918
17 0.141558 0.138316
18 0.139010 0.142153
19 0.138749 0.136780
20 0.138394 0.134196
21 0.136382 0.135965
22 0.135307 0.130057
23 0.132931 0.129792
24 0.132969 0.127797
25 0.131376 0.130494
26 0.130678 0.130856
27 0.131138 0.130707
28 0.129880 0.126355
29 0.129533 0.136401
30 0.127657 0.126836
