# model=snn-ae encoding=latency architecture=recurrent v_th=1.5 alpha=0.99 run=1
epoch train_loss val_loss
1 0.387821 0.292083
2 0.295145 0.229811
3 0.244559 0.203568
4 0.215738 0.185429
5 0.204202 0.182409
6 0.196636 0.162494
7 0.186377 0.166054
8 0.184619 0.157887
9 0.176087 0.154298
10 0.173789 0.150665
11 0.168515 0.147757
12 0.164057 0.149038
13 0.160583 0.141801
14 0.159264 0.137368
15 0.156077 0.139144
16 0.154760 0.137054
17 0.153494 0.134163
18 0.150391 0.132234
19 0.149384 0.134148
20 0.148424 0.143292
21 0.154921 0.133383
22 0.149240 0.135428
23 0.149431 0.138724
