# Batch convergence for: model=snn-ae encoding=latency architecture=recurrent v_th=1.5 alpha=0.99 run=2
batch_num epoch batch_loss
0 1 0.547163
1 1 0.711665
2 1 0.614477
3 1 0.518914
4 1 0.574137
5 1 0.651837
6 1 0.456529
7 1 0.559851
8 1 0.526263
9 1 0.429203
10 1 0.514914
11 1 0.515583
12 1 0.393997
13 1 0.462264
14 1 0.495133
15 1 0.424204
16 1 0.363459
17 1 0.538527
18 1 0.402698
19 1 0.398628
20 1 0.430379
21 1 0.045725
22 1 0.433639
23 1 0.434562
24 1 0.377081
25 1 0.382665
26 1 0.485432
27 1 0.497983
28 1 0.507987
29 1 0.398349
30 1 0.548387
31 1 0.437293
32 1 0.452046
33 1 0.425579
34 1 0.334000
35 1 0.411965
36 1 0.515663
37 1 0.292501
38 1 0.535417
39 1 0.328795
40 1 0.377961
41 1 0.342989
42 1 0.305309
43 1 0.334127
44 1 0.335498
45 1 0.323885
46 1 0.304342
47 1 0.375372
48 1 0.337628
49 1 0.437946
50 1 0.099565
51 1 0.473364
52 1 0.506611
53 1 0.112775
54 1 0.680972
55 1 0.423575
56 1 0.363683
57 1 0.476461
58 1 0.344816
59 1 0.429482
60 1 0.457011
61 1 0.462821
62 1 0.410830
63 1 0.419770
64 1 0.268471
65 1 0.281366
66 1 0.015278
67 1 0.434802
68 1 0.349615
69 1 0.350817
70 1 0.343951
71 1 0.330480
72 1 0.018941
73 1 0.355241
74 1 0.421654
75 1 0.388341
76 1 0.342718
77 1 0.405050
78 1 0.243171
79 1 0.290510
80 1 0.611732
81 1 0.285233
82 1 0.327296
83 1 0.416988
84 1 0.432911
85 1 0.385001
86 1 0.368179
87 1 0.431941
88 1 0.344953
89 1 0.320185
90 1 0.271283
91 1 0.434892
92 1 0.216738
93 1 0.274622
94 1 0.335004
95 1 0.353139
96 1 0.425133
97 1 0.296062
98 1 0.405991
99 1 0.358854
100 2 0.404932
101 2 0.353455
102 2 0.305509
103 2 0.403073
104 2 0.345756
105 2 0.456224
106 2 0.342931
107 2 0.370729
108 2 0.342584
109 2 0.350345
110 2 0.311502
111 2 0.146929
112 2 0.337777
113 2 0.581393
114 2 0.263422
115 2 0.313595
116 2 0.303749
117 2 0.321357
118 2 0.250698
119 2 0.299200
120 2 0.357318
121 2 0.435945
122 2 0.263184
123 2 0.401814
124 2 0.298395
125 2 0.313609
126 2 0.319537
127 2 0.380862
128 2 0.392797
129 2 0.336197
130 2 0.285479
131 2 0.289960
132 2 0.241352
133 2 0.353560
134 2 0.355847
135 2 0.478001
136 2 0.292969
137 2 0.315142
138 2 0.372440
139 2 0.397917
140 2 0.309114
141 2 0.324811
142 2 0.381097
143 2 0.270605
144 2 0.306798
145 2 0.341558
146 2 0.290085
147 2 0.350791
148 2 0.343117
149 2 0.345417
150 2 0.175848
151 2 0.349866
152 2 0.341988
153 2 0.318640
154 2 0.345653
155 2 0.016955
156 2 0.371044
157 2 0.294990
158 2 0.384278
159 2 0.267218
160 2 0.299357
161 2 0.310835
162 2 0.288778
163 2 0.397859
164 2 0.300950
165 2 0.276937
166 2 0.075409
167 2 0.340726
168 2 0.373072
169 2 0.338989
170 2 0.281374
171 2 0.336278
172 2 0.383645
173 2 0.301479
174 2 0.338293
175 2 0.288484
176 2 0.327789
177 2 0.159667
178 2 0.323807
179 2 0.367337
180 2 0.329035
181 2 0.266635
182 2 0.269890
183 2 0.349281
184 2 0.325700
185 2 0.128071
186 2 0.351250
187 2 0.291288
188 2 0.288327
189 2 0.317608
190 2 0.310499
191 2 0.305384
192 2 0.266635
193 2 0.354549
194 2 0.514950
195 2 0.335100
196 2 0.299368
197 2 0.310989
198 2 0.247144
199 2 0.306442
200 3 0.285398
201 3 0.295426
202 3 0.361621
203 3 0.249534
204 3 0.017683
205 3 0.297556
206 3 0.291018
207 3 0.244541
208 3 0.462453
209 3 0.305660
210 3 0.222962
211 3 0.246319
212 3 0.307360
213 3 0.335560
214 3 0.311520
215 3 0.250309
216 3 0.371972
217 3 0.262992
218 3 0.446875
219 3 0.048226
220 3 0.346798
221 3 0.240684
222 3 0.346581
223 3 0.326400
224 3 0.374724
225 3 0.256567
226 3 0.238532
227 3 0.235576
228 3 0.282767
229 3 0.152222
230 3 0.269779
231 3 0.085078
232 3 0.299441
233 3 0.334471
234 3 0.297830
235 3 0.218633
236 3 0.248236
237 3 0.379191
238 3 0.304626
239 3 0.304893
240 3 0.277700
241 3 0.346009
242 3 0.253499
243 3 0.303122
244 3 0.313528
245 3 0.237330
246 3 0.328841
247 3 0.248197
248 3 0.281076
249 3 0.224627
250 3 0.293231
251 3 0.273185
252 3 0.250009
253 3 0.293644
254 3 0.251584
255 3 0.236745
256 3 0.307785
257 3 0.251645
258 3 0.256468
259 3 0.242719
260 3 0.255069
261 3 0.214503
262 3 0.322244
263 3 0.230119
264 3 0.267433
265 3 0.299109
266 3 0.251669
267 3 0.246986
268 3 0.284185
269 3 0.245133
270 3 0.249759
271 3 0.241537
272 3 0.209906
273 3 0.337154
274 3 0.264072
275 3 0.230325
276 3 0.042922
277 3 0.143610
278 3 0.301615
279 3 0.335182
280 3 0.247729
281 3 0.240380
282 3 0.253588
283 3 0.239137
284 3 0.332795
285 3 0.274333
286 3 0.250936
287 3 0.315860
288 3 0.241540
289 3 0.236994
290 3 0.239730
291 3 0.277064
292 3 0.245830
293 3 0.306812
294 3 0.246306
295 3 0.260377
296 3 0.230806
297 3 0.266438
298 3 0.284173
299 3 0.281856
300 4 0.289441
301 4 0.290381
302 4 0.245888
303 4 0.215687
304 4 0.306440
305 4 0.273297
306 4 0.228289
307 4 0.244809
308 4 0.289425
309 4 0.253882
310 4 0.247403
311 4 0.245326
312 4 0.247997
313 4 0.244917
314 4 0.234063
315 4 0.267008
316 4 0.200538
317 4 0.216260
318 4 0.260371
319 4 0.288000
320 4 0.275319
321 4 0.208522
322 4 0.214635
323 4 0.286723
324 4 0.214092
325 4 0.249219
326 4 0.237294
327 4 0.244765
328 4 0.102119
329 4 0.232092
330 4 0.240162
331 4 0.250519
332 4 0.342683
333 4 0.212662
334 4 0.227299
335 4 0.290286
336 4 0.183493
337 4 0.277699
338 4 0.199906
339 4 0.245350
340 4 0.189940
341 4 0.220252
342 4 0.298721
343 4 0.018662
344 4 0.241521
345 4 0.250253
346 4 0.252007
347 4 0.271215
348 4 0.221620
349 4 0.210070
350 4 0.266321
351 4 0.220066
352 4 0.231256
353 4 0.197649
354 4 0.082024
355 4 0.173926
356 4 0.219540
357 4 0.299784
358 4 0.257821
359 4 0.062670
360 4 0.046558
361 4 0.264259
362 4 0.256111
363 4 0.218139
364 4 0.247726
365 4 0.263637
366 4 0.272297
367 4 0.250984
368 4 0.243019
369 4 0.230401
370 4 0.179291
371 4 0.150835
372 4 0.225435
373 4 0.234046
374 4 0.200566
375 4 0.207394
376 4 0.235128
377 4 0.239133
378 4 0.202720
379 4 0.226383
380 4 0.260562
381 4 0.205468
382 4 0.228231
383 4 0.441224
384 4 0.254174
385 4 0.221305
386 4 0.262477
387 4 0.307194
388 4 0.202693
389 4 0.220163
390 4 0.229133
391 4 0.197174
392 4 0.213711
393 4 0.320455
394 4 0.261826
395 4 0.384705
396 4 0.242417
397 4 0.252009
398 4 0.321738
399 4 0.209145
400 5 0.229677
401 5 0.266891
402 5 0.237861
403 5 0.203163
404 5 0.204856
405 5 0.192103
406 5 0.235299
407 5 0.349042
408 5 0.212341
409 5 0.212631
410 5 0.319935
411 5 0.393833
412 5 0.214282
413 5 0.140687
414 5 0.217532
415 5 0.235474
416 5 0.075255
417 5 0.194413
418 5 0.251548
419 5 0.197503
420 5 0.211968
421 5 0.108766
422 5 0.238439
423 5 0.241580
424 5 0.206453
425 5 0.258224
426 5 0.224460
427 5 0.192870
428 5 0.193387
429 5 0.191231
430 5 0.246089
431 5 0.237139
432 5 0.244768
433 5 0.209031
434 5 0.222165
435 5 0.231227
436 5 0.175897
437 5 0.204137
438 5 0.018512
439 5 0.208666
440 5 0.260190
441 5 0.197775
442 5 0.266003
443 5 0.192363
444 5 0.188933
445 5 0.217310
446 5 0.263702
447 5 0.234253
448 5 0.266044
449 5 0.202474
450 5 0.179797
451 5 0.241703
452 5 0.267993
453 5 0.155513
454 5 0.236188
455 5 0.222246
456 5 0.191251
457 5 0.195608
458 5 0.239752
459 5 0.239576
460 5 0.250718
461 5 0.202291
462 5 0.231091
463 5 0.216775
464 5 0.242404
465 5 0.218196
466 5 0.183865
467 5 0.184498
468 5 0.225720
469 5 0.210382
470 5 0.234409
471 5 0.197409
472 5 0.217364
473 5 0.230280
474 5 0.173380
475 5 0.258004
476 5 0.215037
477 5 0.213202
478 5 0.194751
479 5 0.207012
480 5 0.245607
481 5 0.430038
482 5 0.182112
483 5 0.249157
484 5 0.189595
485 5 0.205912
486 5 0.253470
487 5 0.255411
488 5 0.221661
489 5 0.250067
490 5 0.253581
491 5 0.208757
492 5 0.202150
493 5 0.194783
494 5 0.210330
495 5 0.202797
496 5 0.269244
497 5 0.203515
498 5 0.168839
499 5 0.234337
500 6 0.152585
501 6 0.042870
502 6 0.182297
503 6 0.212067
504 6 0.213522
505 6 0.191354
506 6 0.018546
507 6 0.283876
508 6 0.227004
509 6 0.207592
510 6 0.220638
511 6 0.262547
512 6 0.190744
513 6 0.193825
514 6 0.224951
515 6 0.251594
516 6 0.214680
517 6 0.210444
518 6 0.201595
519 6 0.219727
520 6 0.180199
521 6 0.262575
522 6 0.179660
523 6 0.165116
524 6 0.195692
525 6 0.192336
526 6 0.238829
527 6 0.268813
528 6 0.167145
529 6 0.253922
530 6 0.235582
531 6 0.213467
532 6 0.224694
533 6 0.168324
534 6 0.166536
535 6 0.182243
536 6 0.216676
537 6 0.158003
538 6 0.253834
539 6 0.188730
540 6 0.241547
541 6 0.177735
542 6 0.177452
543 6 0.183938
544 6 0.219784
545 6 0.251097
546 6 0.198877
547 6 0.222945
548 6 0.152415
549 6 0.187206
550 6 0.226231
551 6 0.192091
552 6 0.194676
553 6 0.167091
554 6 0.154894
555 6 0.214712
556 6 0.230539
557 6 0.203016
558 6 0.252429
559 6 0.043335
560 6 0.212787
561 6 0.183970
562 6 0.224506
563 6 0.190130
564 6 0.085930
565 6 0.198823
566 6 0.242372
567 6 0.245963
568 6 0.195317
569 6 0.205820
570 6 0.063022
571 6 0.226565
572 6 0.207802
573 6 0.186458
574 6 0.264147
575 6 0.196486
576 6 0.139286
577 6 0.180529
578 6 0.164653
579 6 0.198133
580 6 0.201874
581 6 0.368716
582 6 0.198548
583 6 0.179761
584 6 0.215156
585 6 0.158123
586 6 0.227757
587 6 0.200920
588 6 0.204378
589 6 0.220268
590 6 0.422178
591 6 0.228805
592 6 0.193371
593 6 0.160379
594 6 0.237941
595 6 0.211913
596 6 0.181776
597 6 0.208284
598 6 0.212502
599 6 0.220071
600 7 0.163042
601 7 0.208059
602 7 0.196524
603 7 0.245313
604 7 0.018513
