# model=snn-ae encoding=poisson architecture=recurrent v_th=0.5 alpha=0.8 run=3
epoch train_loss val_loss
1 0.268896 0.209292
2 0.220976 0.201549
3 0.221934 0.188923
4 0.200739 0.186715
5 0.190581 0.189011
6 0.184225 0.182084
7 0.181895 0.160377
8 0.174474 0.173337
9 0.169898 0.167262
10 0.167744 0.169389
11 0.165731 0.159148
12 0.163271 0.168538
13 0.161823 0.161853
14 0.156812 0.159790
15 0.160500 0.151408
16 0.157256 0.158969
17 0.154498 0.150450
18 0.153610 0.155253
19 0.152250 0.158811
20 0.154848 0.162433
21 0.156329 0.151845
22 0.146549 0.147448
23 0.149790 0.156046
24 0.146785 0.146587
25 0.143138 0.151238
26 0.147865 0.154572
27 0.149340 0.148906
28 0.141553 0.159230
29 0.142058 0.144105
30 0.141052 0.152385
