# model=snn-ae encoding=poisson architecture=recurrent v_th=1 alpha=0.99 run=3
epoch train_loss val_loss
1 0.208776 0.164069
2 0.186299 0.157940
3 0.170249 0.144075
4 0.165244 0.147649
5 0.163048 0.148888
6 0.150280 0.144020
7 0.151436 0.140225
8 0.140308 0.133606
9 0.139147 0.136447
10 0.138631 0.134150
11 0.133024 0.135791
12 0.135031 0.140335
13 0.132615 0.122702
14 0.135305 0.117369
15 0.132739 0.121395
16 0.130583 0.124403
17 0.128073 0.129015
18 0.129822 0.126802
19 0.128359 0.114432
20 0.130146 0.130488
21 0.132661 0.114680
22 0.130458 0.130117
23 0.128197 0.133786
24 0.127084 0.112417
25 0.134744 0.119000
26 0.129100 0.138541
27 0.133718 0.120430
28 0.137814 0.128337
29 0.133783 0.111246
30 0.147355 0.113528
