model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
lstm-ae direct lstm 0.000000 0.000000 0.9484 0.7044 0.0516 0.0000 0.0000 11842560.0000 184.8602 86546.6016 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.1019 0.2118 0.5872 0.0000 0.0000 11842560.0000 192.3730 58212.2617 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.1118 0.2234 0.0180 0.0000 0.0000 11842560.0000 201.8618 64813.2227 122472.0000 1184256.0000
snn-ae direct recurrent 0.500000 0.800000 0.1971 0.3681 -0.0818 0.6667 0.8804 375401.6667 98.5614 16510.2220 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.1773 0.3437 -0.0084 0.6667 0.9203 375707.6667 98.6323 16094.1885 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0956 0.2033 0.1569 0.5556 0.8951 375514.6667 99.6867 12840.6722 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.1370 0.2678 -0.0725 0.6667 0.8066 374834.3333 95.9912 14797.1465 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.1381 0.2723 -0.1103 0.6667 0.8248 374974.6667 114.0401 15702.0010 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0582 0.1298 0.1937 0.0000 0.9047 375588.0000 100.7685 11244.2858 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0927 0.1816 -0.0285 0.1667 0.9149 375666.3333 97.5115 6753.9937 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0946 0.1990 -0.0527 0.6111 0.8469 375144.3333 96.5071 12947.3294 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0436 0.1046 0.1505 0.2222 0.8963 375523.3333 109.0642 14155.0169 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0941 0.2051 0.6229 0.4444 0.9120 375644.0000 116.7231 13347.2002 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0870 0.1952 0.6521 0.2222 0.8999 375551.0000 100.0278 14434.8148 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0776 0.1780 0.6883 0.4444 0.9239 375735.3333 107.3869 12708.0531 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.1282 0.2509 0.4176 0.8000 0.8498 375166.6667 98.9950 16796.9753 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.1410 0.2774 0.3994 0.6667 0.8803 375400.3333 100.6335 13416.4902 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.1127 0.2317 0.5409 0.5556 0.8942 375507.6667 98.1305 12350.4821 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0937 0.2021 0.4440 0.4444 0.7907 374712.3333 102.1157 16835.2396 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.1190 0.2461 0.3474 0.7000 0.8677 375303.6667 103.8351 15636.3252 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.1440 0.2776 0.2961 0.6667 0.8736 375349.0000 109.6548 14296.7493 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.1570 0.2867 -0.1552 0.4000 0.9206 375710.3333 97.9527 14828.5146 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.1676 0.3122 -0.0673 0.4333 0.9472 375914.6667 103.7302 12310.3551 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1946 0.3685 -0.0379 0.6667 0.9664 376061.6667 107.8501 13690.1198 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0821 0.1532 -0.0326 0.0000 0.9767 376141.3333 101.8140 8544.1912 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0957 0.1754 -0.0514 0.2222 0.9654 376054.0000 98.6266 9169.5011 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1221 0.2343 -0.1186 0.6667 0.9875 376224.3333 97.8267 12548.9603 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0457 0.0962 -0.0108 0.0000 0.9883 376230.0000 109.0750 5365.3354 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0540 0.1111 -0.0124 0.0000 0.9935 376270.0000 105.1416 5451.3285 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0763 0.1546 -0.0234 0.0000 0.9895 376239.6667 101.8308 9098.5793 37286.0000 36864.0000
