model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.075024,374401.866667,37286.000000,36864.000000
SNN-conv1d,latency,0.514571,418459.020833,37286.000000,36864.000000
SNN-conv1d,poisson,0.523692,408859.577778,37286.000000,36864.000000
SNN-dense,direct,0.046875,372240.000000,37286.000000,36864.000000
SNN-dense,latency,0.504038,413783.510638,37286.000000,36864.000000
SNN-dense,poisson,0.514049,417999.500000,37286.000000,36864.000000
SNN-recurrent,direct,0.453843,415539.640000,37286.000000,36864.000000
SNN-recurrent,latency,0.506952,407573.933333,37286.000000,36864.000000
SNN-recurrent,poisson,0.510589,414393.851064,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
