model,encoding,mse,mae,r2,f1
LSTM-AE,direct,0.012677,0.026857,0.987319,0.000000
LSTM-AE,latency,0.000045,0.001796,0.994269,0.000000
LSTM-AE,poisson,0.008951,0.020145,0.667382,0.000000
SNN-conv1d,direct,0.000528,0.007104,0.999301,0.000000
SNN-conv1d,latency,0.000015,0.000888,0.996114,0.000000
SNN-conv1d,poisson,0.055203,0.157574,-2.181543,0.000000
SNN-dense,direct,0.001160,0.009463,0.998840,0.000000
SNN-dense,latency,0.000210,0.001356,0.972981,0.000000
SNN-dense,poisson,0.063241,0.165815,-1.336899,0.000000
SNN-recurrent,direct,0.001284,0.007987,0.985207,0.000000
SNN-recurrent,latency,0.000272,0.002106,-0.658423,0.000000
SNN-recurrent,poisson,0.060418,0.154362,-1.469349,0.000000
gru-ae,direct,0.002314,0.010526,0.997684,0.000000
gru-ae,latency,0.000007,0.001742,0.999042,0.000000
gru-ae,poisson,0.008439,0.018737,0.686394,0.000000
transformer-ae,direct,0.002209,0.009366,0.997789,0.000000
transformer-ae,latency,0.000044,0.000563,0.994413,0.000000
transformer-ae,poisson,0.001328,0.003662,0.950635,0.000000
