model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
gru-ae direct gru 0.000000 0.000000 0.0023 0.0105 0.9977 0.0000 0.0000 8893440.0000 1701.1046 236589.4188 93032.0000 889344.0000
gru-ae latency gru 0.000000 0.000000 0.0000 0.0017 0.9990 0.0000 0.0000 8893440.0000 3137.1956 784721.8812 93032.0000 889344.0000
gru-ae poisson gru 0.000000 0.000000 0.0084 0.0187 0.6864 0.0000 0.0000 8893440.0000 1636.3144 389543.6281 93032.0000 889344.0000
lstm-ae direct lstm 0.000000 0.000000 0.0127 0.0269 0.9873 0.0000 0.0000 11842560.0000 1026.1318 219000.7906 122472.0000 1184256.0000
lstm-ae latency lstm 0.000000 0.000000 0.0000 0.0018 0.9943 0.0000 0.0000 11842560.0000 1836.4722 436236.1125 122472.0000 1184256.0000
lstm-ae poisson lstm 0.000000 0.000000 0.0090 0.0201 0.6674 0.0000 0.0000 11842560.0000 1068.0208 278615.0750 122472.0000 1184256.0000
snn-ae direct conv1d 0.500000 0.800000 0.0004 0.0064 0.9995 0.0000 0.0742 374340.0000 41.6399 13693.8488 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.900000 0.0004 0.0062 0.9995 0.0000 0.0742 374340.0000 29.2957 13848.2350 37286.0000 36864.0000
snn-ae direct conv1d 0.500000 0.990000 0.0004 0.0057 0.9995 0.0000 0.0742 374340.0000 14.3952 13699.4768 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.800000 0.0004 0.0072 0.9995 0.0000 0.0742 374340.0000 12.6959 13415.3061 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.900000 0.0019 0.0140 0.9975 0.0000 0.0815 374896.8000 12.2430 14169.8359 37286.0000 36864.0000
snn-ae direct conv1d 1.000000 0.990000 0.0004 0.0065 0.9995 0.0000 0.0742 374340.0000 12.0981 14044.8910 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.800000 0.0004 0.0062 0.9995 0.0000 0.0742 374340.0000 17.5898 14025.0432 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.900000 0.0003 0.0058 0.9996 0.0000 0.0742 374340.0000 12.4793 13398.7307 37286.0000 36864.0000
snn-ae direct conv1d 1.500000 0.990000 0.0004 0.0060 0.9995 0.0000 0.0742 374340.0000 22.1075 13443.1889 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.800000 0.0012 0.0065 0.9988 0.0000 0.0469 372240.0000 22.8347 13341.7994 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.900000 0.0012 0.0077 0.9988 0.0000 0.0469 372240.0000 11.2377 13088.2719 37286.0000 36864.0000
snn-ae direct dense 0.500000 0.990000 0.0014 0.0102 0.9986 0.0000 0.0469 372240.0000 11.6240 14835.3908 37286.0000 36864.0000
