model,encoding,spike_rate,energy,param_count,macs
LSTM-AE,direct,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,latency,0.000000,11842560.000000,122472.000000,1184256.000000
LSTM-AE,poisson,0.000000,11842560.000000,122472.000000,1184256.000000
SNN-conv1d,direct,0.149091,380090.155556,37286.000000,36864.000000
SNN-conv1d,latency,0.634358,434725.142857,37286.000000,36864.000000
SNN-conv1d,poisson,0.523415,415815.404255,37286.000000,36864.000000
SNN-dense,direct,0.116284,377570.577778,37286.000000,36864.000000
SNN-dense,latency,0.636000,417484.800000,37286.000000,36864.000000
SNN-dense,poisson,0.511661,407935.577778,37286.000000,36864.000000
SNN-recurrent,direct,0.559046,429422.640000,37286.000000,36864.000000
SNN-recurrent,latency,0.619398,420215.869565,37286.000000,36864.000000
SNN-recurrent,poisson,0.514339,417893.645833,37286.000000,36864.000000
gru-ae,direct,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,latency,0.000000,8893440.000000,93032.000000,889344.000000
gru-ae,poisson,0.000000,8893440.000000,93032.000000,889344.000000
transformer-ae,direct,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,latency,0.000000,47554560.000000,139176.000000,4755456.000000
transformer-ae,poisson,0.000000,47554560.000000,139176.000000,4755456.000000
